"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.180818750666471,-0.787297524419301,-0.642846686142423,-0.636312587752483,-0.634119154247625,-0.931450474432141,0.0398392113393461,0.125219054069366,0.0506435940529998,0.0696746351568775,1,250,15
"workerid",NA,NA,NA,NA,-0.00488995922410434,-0.661243718682871,-0.396967682089942,-0.532081669469093,-0.256389272430757,-0.882267220255365,0.263364936674986,0.436683743048238,0.00740657327630014,0.266791912505105,1,250,15
NA,0.196993145626132,-0.127089215285866,-0.0937534517862402,-0.0565137327765363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,250,15
"predicate_1",NA,NA,NA,NA,-0.662805124324508,-0.778780134600265,-0.6972588217568,-0.229090785590228,-0.413131968229808,-0.779367523360283,0.00211366676795728,0.195985756426744,0.0150079801844366,0.178833725991013,121,250,15
"workerid",NA,NA,NA,NA,0.37355487851304,-0.0504949489246464,-0.555580483748963,0.145564896813647,-0.199719260738265,-0.403716312586091,0.197923320229028,0.390373448050746,0.171224985138581,0.467210966902652,121,250,15
NA,0.168320127017716,0.123695785671652,0.029461217690769,-0.0383726960649882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,250,15
"predicate_1",NA,NA,NA,NA,-0.323818748618534,-0.756319831958619,-0.72663793768141,-0.741531044185184,-0.515888402951505,-0.695621037397966,0.0688887440217703,0.124087890512882,0.00254481149487751,0.136401016893807,2,250,15
"workerid",NA,NA,NA,NA,0.324507754016514,-0.228366006617416,-0.451145963588466,-0.0580284981519621,-0.798261310053238,-0.778906000228158,0.251804915246078,0.271726773617825,0.0255248639105801,0.383642211331435,2,250,15
NA,0.251349774299658,0.190244056853369,0.0572027605525924,-0.0163969363581162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,250,15
"predicate_1",NA,NA,NA,NA,-0.606669380773447,-0.770921216675353,-0.793992514597884,-0.854862349631337,-0.658182116125156,-0.815172253001207,0.0884215674746165,0.0240394127315981,0.0628755963611971,0.0433230024611828,3,250,15
"workerid",NA,NA,NA,NA,0.334802870261093,-0.558302843596244,-0.49644452721525,-0.576749231643467,-0.503289883258095,-0.699262088050557,0.205766227513759,0.266415075239816,0.00592303793600701,0.224222345173957,3,250,15
NA,0.173135107559109,0.112537460919456,0.00677593347429848,0.172716170152978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,250,15
"predicate_1",NA,NA,NA,NA,-0.602443866226735,-0.749107935012823,-0.631791549622246,-0.588732414830744,0.0401325691540877,-0.549822981599194,0.00450609101857981,0.184316108358306,0.00393606256243469,0.0793256593734656,122,250,15
"workerid",NA,NA,NA,NA,0.249630920747567,-0.806796719126962,-0.392299655104251,-0.757350062416224,-0.85832146728486,-0.75181162974144,0.331156751876367,0.220040725044574,0.00329789165849281,0.343099793329244,122,250,15
NA,0.115812566907856,0.127569231731652,0.0386015170496821,0.100317680950667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,250,15
"predicate_1",NA,NA,NA,NA,-0.566169328396136,-0.714612436819419,-0.824863957314148,-0.235805105778389,-0.674531301059497,-0.859335422320406,0.0078906696044073,0.340111471147245,0.0470938951250941,0.00422065908067966,4,250,15
"workerid",NA,NA,NA,NA,0.365887515655312,-0.654255784832117,-0.61732462874279,-0.73646173527779,-0.620603942926024,-0.880302409783944,0.330719018339994,0.284263566269985,0.00836815190012091,0.28626649491433,4,250,15
NA,0.177037588525605,0.070301388350195,0.0153257022805183,0.0164353131721906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,250,15
"predicate_1",NA,NA,NA,NA,-0.569345717160609,-0.816251751934597,-0.709238856933906,-0.708469173150137,-0.571635322899823,-0.829998860898178,0.00488770098858508,0.0934506725219939,0.00498269016099869,0.0934314079658404,123,250,15
"workerid",NA,NA,NA,NA,0.00541028323720827,-0.870343990796903,-0.721092478205781,-0.827098324923857,-0.793616336317756,-0.662645009066183,0.370865865340529,0.0446512856899661,0.00296482929782201,0.527606590135534,123,250,15
