"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.286233793696475,-0.746996186389125,-0.800275931713541,-0.764776219764512,-0.328570403400359,-0.871550029351491,0.0581249741389126,0.117534644422999,0.00177220701602038,0.193733966007231,121,400,15
"workerid",NA,NA,NA,NA,0.164721506414657,-0.260702375014941,-0.633354985522286,-0.297229607858942,-0.496804256438584,-0.932118450808054,0.340060307175605,0.446738449568657,0.0216190037894458,0.357217681942811,121,400,15
NA,0.176354955625016,0.238466253641732,0.0377067476565393,-0.0439341993337055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,400,15
"predicate_1",NA,NA,NA,NA,-0.461417411664183,-0.924745538396771,-0.818953801768377,-0.158119343434701,-0.854093008584899,-0.793617394210333,0.0764328407533685,0.162434047485221,0.238650689901736,0.00225391202609149,122,400,15
"workerid",NA,NA,NA,NA,0.14044907465398,-0.805903655019988,-0.506140159516214,-0.83387931521145,-0.902321468755867,-0.676038270171402,0.367830421639146,0.22958131508471,0.00260130738546365,0.526435079820984,122,400,15
NA,0.136335976584193,0.332810811317762,0.0187700132967752,0.0336407074084604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,400,15
"predicate_1",NA,NA,NA,NA,-0.30346417567316,-0.411082623990305,-0.815743346729526,-0.516643498419855,-0.821980305419795,-0.72747585688257,0.106786284822434,0.0740998741373079,0.00642735646200113,0.00159269152523598,41,400,15
"workerid",NA,NA,NA,NA,0.450311909403895,-0.656279437200939,-0.610803892664117,-0.65277414049306,-0.906927842686719,-0.853652570732443,0.382732552465449,0.251158900979232,0.00218193874624475,0.317756245595639,41,400,15
NA,0.142758958024691,0.190408572527643,0.0189092075382342,0.0352800930862683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,400,15
"predicate_1",NA,NA,NA,NA,-0.470178306526963,-0.941659479395164,-0.556627070837969,-0.685580105002791,-0.803035091951355,-0.918523847325344,0.0215408903571729,0.0304080656683642,0.0107183691478075,0.0569687001805559,42,400,15
"workerid",NA,NA,NA,NA,0.372996530159627,0.0452415479218347,-0.604646852071265,0.519134935799295,-0.0457875785160971,-0.171125448665931,0.314247318059626,0.30694933577622,0.20284905253334,0.586558908191033,42,400,15
NA,0.225461417684017,0.245580984275216,0.0563314792737001,0.0320980570211068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,400,15
"predicate_1",NA,NA,NA,NA,-0.638202011978694,-0.84883961163166,-0.628069236953345,-0.23486549141894,0.275591218644816,-0.527032646071437,0.00310437352205439,0.0893423290008884,0.114060768901138,0.130515748063767,123,400,15
"workerid",NA,NA,NA,NA,0.454130541761309,-0.1276949437512,-0.53351206297908,-0.182120854828438,-0.272029248526295,-0.416515385051248,0.252071034298318,0.462686099385073,0.0380437419012184,0.425227120880145,123,400,15
NA,0.241365051135676,0.146340600398807,-0.118330437534535,0.0724939068723545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,400,15
"predicate_1",NA,NA,NA,NA,-0.570442685239062,-0.888115343760812,-0.630654790951506,0.167303738108431,-0.902245111218852,-0.888109740195507,0.0670907594672613,0.207634549663678,0.18464071863252,0.105287733990068,43,400,15
"workerid",NA,NA,NA,NA,0.452205926663646,-0.411354097070835,-0.561287289858126,-0.413786080603835,-0.348650747993318,-0.648431295178004,0.36323103432562,0.310533591188363,0.00742026797146111,0.515948963578111,43,400,15
NA,0.140261490949743,0.0964359516791887,0.114087841131087,-0.0759020944210068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,400,15
"predicate_1",NA,NA,NA,NA,-0.331394010426835,-0.71620596370835,-0.576641538665686,-0.228518037988608,-0.876175938317711,-0.685437724733873,0.050482520523998,0.14413973095096,0.117426490717734,0.0891671490423721,124,400,15
"workerid",NA,NA,NA,NA,0.357655239292658,-0.592189129426396,-0.51495172536372,-0.612077431695757,-0.810888082676373,-0.818079819811075,0.377906333501101,0.16174365619733,0.00620323113542007,0.355693856702965,124,400,15
NA,0.168707992166591,0.151222807229564,-0.0292713447228866,-0.0303924514843961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,400,15
