"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.64070680690563,-0.857926594949962,-0.937447594493979,-0.769658789141713,-0.638626657414194,-0.801443493951431,0.168617637216442,0.105289833082659,0.00328300183503281,0.0726832627625903,1,150,12
"workerid",NA,NA,NA,NA,0.0816012877892548,-0.391323381976319,-0.69818588837078,-0.44487478767374,-0.755748067479452,-0.861450729874929,0.374321430692884,0.0806946229415232,0.0179837862505095,0.341160205712551,1,150,12
NA,0.127720323709239,0.192782966679271,0.0361230923413689,-0.086132644984512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,150,12
"predicate_1",NA,NA,NA,NA,-0.742209589072344,-0.768637080870429,-0.89091248836026,-0.493631155384632,-0.853081198334545,-0.919751089311422,0.00198254128172002,0.192697999619669,0.0343386799798805,0.0399454774795741,2,150,12
"workerid",NA,NA,NA,NA,-0.113805747128031,-0.819048940689082,-0.5483555434892,-0.810240260376855,-0.380956674213471,-0.817040488364132,0.296356436453799,0.248645268660115,0.00329118475064453,0.422555331371925,2,150,12
NA,0.220322600728359,0.0517110239300261,-0.102199662207069,-0.254547932542365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,150,12
"predicate_1",NA,NA,NA,NA,-0.706753126804016,-0.821509563159094,-0.829259673886132,-0.656163392773355,-0.50876561161139,-0.698961052159618,0.00297787330953104,0.0321687386774445,0.0219709911801914,0.0898068085198602,3,150,12
"workerid",NA,NA,NA,NA,0.169838642567688,-0.699625834715527,-0.658883564746445,-0.736295136490935,-0.812997105750817,-0.752801062003499,0.37291336255851,0.134665935910993,0.00272639362631994,0.397820341046779,3,150,12
NA,0.11108439811623,0.231220417389482,0.0696385724688904,0.102801870174951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,150,12
"predicate_1",NA,NA,NA,NA,-0.712701017558554,-0.789398596174221,-0.69796499808421,-0.36606712966742,-0.687903161066347,-0.707807722940836,0.00499080768976851,0.0665274493165095,0.0110970463638127,0.00969087830144068,4,150,12
"workerid",NA,NA,NA,NA,0.22816143487006,-0.902337058218252,-0.779593728494207,-0.847464149492601,-0.739285048216365,-0.658303550207963,0.35922596478464,0.226558407182603,0.00512433122218722,0.41310113720095,4,150,12
NA,0.110576501267938,0.105013736737155,-0.00982604276646259,-0.0371697541158406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,150,12
"predicate_1",NA,NA,NA,NA,-0.638777537511792,-0.798920089267899,-0.72253239928236,-0.779078547183744,-0.243418321679701,-0.818253473153941,0.0292334504911326,0.183534260264787,0.00258537180273281,0.0500523859585509,21,150,12
"workerid",NA,NA,NA,NA,0.235971727464747,-0.615427575416152,-0.632700207217664,-0.626957804742168,-0.701058147202019,-0.810154236703061,0.352985518733111,0.22028579370037,0.0047179956899556,0.399979230736169,21,150,12
NA,0.143240069796249,0.19802244794196,-0.00805779332713642,0.0907920812715112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,150,12
"predicate_1",NA,NA,NA,NA,-0.518064218323355,-0.891414442226637,-0.638683078787762,-0.775325101896024,-0.697164883985766,-0.858196627380742,0.0142957754067186,0.0673327591080454,0.00266873171444249,0.0449982889630655,5,150,12
"workerid",NA,NA,NA,NA,-0.177389406019172,-0.825902943737262,-0.763970059025488,-0.58732008101626,0.0614798830141126,-0.209640356890332,0.202661230711172,0.265156707543231,0.0136647188776459,0.645265435186254,5,150,12
NA,-0.0303942142144161,0.244745622900721,0.109547064166624,0.0740275392259065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,150,12
"predicate_1",NA,NA,NA,NA,-0.45396934160867,-0.865389987970865,-0.515673074037791,-0.401610489133755,-0.466127798990497,-0.725221318037996,0.042160058431963,0.131401030837471,0.0921557880439573,0.036221335194538,81,150,12
"workerid",NA,NA,NA,NA,-0.0599191841784679,-0.675871497193912,-0.547926262229105,-0.810286742388279,-0.84428395596475,-0.681063802938742,0.268666581834748,0.350784366593658,0.00354584047347674,0.424376426481371,81,150,12
NA,0.114419977478593,0.0713450565825529,-0.112115906756632,-0.00263849967429442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,150,12
"predicate_1",NA,NA,NA,NA,-0.528222982163916,-0.746103746624576,-0.742286886141625,-0.652722711044623,-0.759664580391474,-0.776657638315341,0.0305224428433111,0.0149945078452244,0.0166818040274736,0.00335434267669604,22,150,12
"workerid",NA,NA,NA,NA,0.372532566764766,-0.658734608886394,-0.448809423286537,-0.664076556825824,-0.537598968455218,-0.136644785092973,0.247389805357135,0.231153637031821,0.0177920366656215,0.384926239454736,22,150,12
