"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.575338495667754,-0.789362560133745,-0.625933298596477,-0.808256781688456,-0.142187500174696,-0.870624468737514,0.0253925956126352,0.114040143490599,0.0223810543242447,0.105341684945801,1,100,18
"workerid",NA,NA,NA,NA,-0.14892201050774,-0.711871380815011,-0.576242656298258,-0.583371516558111,-0.841217730154341,-0.786748197618017,0.308288322452059,0.265031430025079,0.00505295827143137,0.319282880733077,1,100,18
NA,0.0246934352775422,0.405865033009478,-0.0750396735953433,0.12545716329894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100,18
"predicate_1",NA,NA,NA,NA,-0.419476417256546,-0.855233046324612,-0.812464020824447,-0.790705988354471,-0.74898631079172,-0.871057627325258,0.0130828606230641,0.179464110141388,0.0070824684166866,0.00582524612225832,2,100,18
"workerid",NA,NA,NA,NA,-0.154966221719676,-0.492924189434582,-0.746489578400033,-0.442825032004472,-0.915867915422068,-0.880260775624495,0.337101134473952,0.124164894912198,0.0114680789864833,0.296743654360298,2,100,18
NA,0.166519069427798,0.18647619634937,0.122063151756464,-0.128511692133538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,18
"predicate_1",NA,NA,NA,NA,-0.506300428811265,-0.666968948206756,-0.869906251639818,-0.633938743219541,-0.863754630729166,-0.736662099785612,0.0851246140172459,0.0140894308295275,0.0513536738546845,0.0278561411934692,3,100,18
"workerid",NA,NA,NA,NA,0.129282766390753,-0.694447700172035,-0.544537116273731,-0.749991449746127,-0.177979434568914,-0.851337570335447,0.265276219839657,0.277371341376764,0.0042991293990874,0.560998696058446,3,100,18
NA,0.112716122273168,-0.0225540241513819,-0.00659459801341491,-0.109602937761414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,100,18
"predicate_1",NA,NA,NA,NA,-0.686586161075344,-0.889004991504104,-0.966859808835963,-0.914135843464455,-0.863456825055967,-0.0609542614381119,0.102997946083393,0.0131337679740201,0.14563840102888,0.072102174541966,4,100,18
"workerid",NA,NA,NA,NA,0.124729026066228,-0.468166945345463,-0.295419116518265,-0.481514215272322,-0.176699020366303,-0.584055128706939,0.173296636290913,0.306649656608233,0.0086281513065543,0.111897065873237,4,100,18
NA,0.106186546797904,0.074314930043032,-0.0822250234398208,-0.223992877457472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,100,18
"predicate_1",NA,NA,NA,NA,-0.814064972453607,-0.842111652362891,-0.714575494050928,-0.803262838459631,-0.820669254793619,-0.75439180633991,0.00698798621881359,0.00735270178327374,0.00303638468527007,0.041342977996718,5,100,18
"workerid",NA,NA,NA,NA,0.0692558983735499,-0.594341048362129,-0.249069454718237,-0.689993029525112,-0.563939913803277,-0.704942693685376,0.294443233938895,0.498111154517609,0.00474251189675492,0.333262077109735,5,100,18
NA,0.296241744116888,-0.160747018568488,-0.11282345088063,-0.320129848398891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,100,18
"predicate_1",NA,NA,NA,NA,-0.763863201657638,-0.889057958081374,-0.840743035180495,-0.767419623623167,-0.734694687628919,-0.900236208645013,0.00266552189339751,0.0104647321187909,0.0108493508778142,0.0154128951569769,6,100,18
"workerid",NA,NA,NA,NA,-0.174538540188391,-0.788608364484962,-0.415221146216733,-0.713074143406441,-0.911692120271106,-0.79760391954663,0.217570419249854,0.212727588491908,0.00398284572537663,0.169025104658386,6,100,18
NA,0.114968827687854,0.182013673480457,0.0516638708534743,-0.0224766074094342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,100,18
"predicate_1",NA,NA,NA,NA,-0.883742190349441,-0.692661904680065,-0.741345535069851,-0.472641475992289,-0.778362148975452,-0.719535495247147,0.00648114308359411,0.0736273394248273,0.0311305441599826,0.0164431469220246,7,100,18
"workerid",NA,NA,NA,NA,-0.0307979908263973,-0.633968479847138,-0.561169450105045,-0.249842237839532,-0.834466068781464,-0.754160845498611,0.260400702902808,0.216224341908242,0.0458734532339343,0.353425563788592,7,100,18
NA,0.200633389931116,0.123028963403999,0.0701486159783869,-0.127136933530578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,100,18
"predicate_1",NA,NA,NA,NA,-0.827904647980298,-0.76508981310179,-0.936588469282383,-0.591419812297827,-0.765440493415036,-0.95239433157296,0.00249473440428738,0.0122509429788919,0.0818351314921218,0.141345582248345,8,100,18
"workerid",NA,NA,NA,NA,-0.0545488842467704,-0.731497455796357,-0.539152798877596,-0.674526490285192,-0.637666464027711,-0.698983502379955,0.208246541144531,0.293654491225258,0.00446698207378301,0.23332186819072,8,100,18
