"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"predicate_1",NA,NA,NA,NA,-0.650034133686175,-0.836845189208639,-0.614679135917297,-0.766726494282289,-0.688713258860613,-0.779281468365616,0.0293534014554899,0.0355145096744909,0.00519462415920752,0.0151556195740665,101,50
"workerid",NA,NA,NA,NA,-0.800547069146573,-0.716288400640709,-0.722874798574409,-0.736423059187636,-0.808831519445867,-0.825206209397565,0.209501286759356,0.0065118818802131,0.00695669398739278,0.0124596960390945,101,50
NA,-0.00770135699020956,0.0466825075470576,-0.0626771695970097,-0.266046699611633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,50
"predicate_1",NA,NA,NA,NA,-0.82953525112129,-0.774246986909276,-0.858397550784798,-0.833978300218549,-0.71327575185275,-0.762262480462234,0.00344735359485708,0.0443593650250045,0.037811204171501,0.00530743266244256,901,50
"workerid",NA,NA,NA,NA,0.170878269466027,-0.544105025641863,-0.732593052789088,-0.518392926792058,-0.699974540620039,-0.734972235860934,0.287405244462291,0.36802137344302,0.0121627242530462,0.023941862827852,901,50
NA,0.0835647083034478,0.282958355385621,-0.115218101555459,-0.079122894350867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901,50
"predicate_1",NA,NA,NA,NA,-0.762502397991755,-0.763427371942418,-0.749762437102409,-0.763266633825623,-0.837583759978317,-0.798681043364389,0.0233065483630716,0.00673842631170454,0.0103885052638306,0.046566614686361,102,50
"workerid",NA,NA,NA,NA,-0.305580406773827,-0.668533745634156,-0.742728582708743,-0.74139054532899,-0.878225529223985,-0.824220353269085,0.251135120941579,0.11263495788077,0.0119787651350189,0.290539963132362,102,50
NA,0.129752129885307,0.0868782461364709,-0.158692889094951,-0.179772759824071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,50
"predicate_1",NA,NA,NA,NA,-0.809069452692797,-0.584927551041449,-0.876161653672119,-0.766293893313252,-0.826381287280896,-0.775208678480061,0.097249676130756,0.00581734772748605,0.0125777380354435,0.00635045862958932,701,50
"workerid",NA,NA,NA,NA,-0.547362161332011,-0.929638372024448,-0.79081411496028,-0.781569276358255,-0.864532869256726,-0.766264248166692,0.131650929265248,0.0124859979510297,0.00536060492788178,0.228509483680652,701,50
NA,0.110414069145854,-0.0317737918625811,-0.177148381153905,-0.164457795672003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,50
"predicate_1",NA,NA,NA,NA,-0.825658743936174,-0.85410346935221,-0.742742313131036,-0.779719446489813,-0.753822833211774,-0.8525002981021,0.0224807482818882,0.00709417046522854,0.0489563391579087,0.00760141775136349,1,50
"workerid",NA,NA,NA,NA,-0.527083776958923,-0.62192252966945,-0.724319917470371,-0.761690380141214,-0.740904930176887,-0.750170242504982,0.29685462139367,0.0130049711209554,0.00972959663108191,0.621255525414124,1,50
NA,0.133941536889869,-0.137662751432718,-0.261184812364329,-0.38909640411633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50
"predicate_1",NA,NA,NA,NA,-0.65359013897641,-0.719093538745093,-0.74039167308459,-0.771580989752772,-0.672551924965161,-0.820435155824865,0.025219173329769,0.0145943617254275,0.00970535595258865,0.00726727180953338,801,50
"workerid",NA,NA,NA,NA,-0.333359648415811,-0.803444720137434,-0.642479663383871,-0.790692060896961,-0.751141430154506,-0.499915366163163,0.215702183095191,0.0166251121722083,0.0139490619495885,0.411336655932477,801,50
NA,-0.100311383890247,0.15463824437729,0.0825065938240863,-0.0474658726979324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,50
"predicate_1",NA,NA,NA,NA,-0.654247194002288,-0.808553644063633,-0.817578745366893,-0.782715079518753,-0.729305981454448,-0.762278120322859,0.0452282566023027,0.0103422467386491,0.00352325150754536,0.0156169679730391,601,50
"workerid",NA,NA,NA,NA,-0.766250109272896,-0.725242634443597,-0.834537438014315,-0.789948424769664,-0.659779487412057,-0.779995231565023,0.36576652860809,0.00751097244897961,0.00561807116437917,0.577190611928003,601,50
NA,0.0682063922768978,-0.00878314231160375,-0.190753938450817,-0.166777698876772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,50
"predicate_1",NA,NA,NA,NA,-0.918798379549202,-0.852107384301958,-0.760329887415577,-0.629668502804487,-0.788002503696926,-0.726351584421022,0.00376745956129673,0.0129514843629877,0.102575971909097,0.0924659295308349,902,50
"workerid",NA,NA,NA,NA,0.178762043658904,-0.893104726520934,-0.822523326651892,-0.829807359843487,-0.788757303002157,-0.681418077107715,0.247636911172191,0.305979311303116,0.00871129358131301,0.00968098250148182,902,50
NA,0.183444915006802,-0.0386295858229864,-0.292273120203504,-0.283263575808666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,50
"predicate_1",NA,NA,NA,NA,-0.760970675940392,-0.91727348970099,-0.858164604314155,-0.827288798935463,-0.847639783577286,-0.694531946391034,0.0283147279305618,0.00774134767464287,0.0121809930938418,0.00883411710994299,802,50
"workerid",NA,NA,NA,NA,-0.430380834866451,-0.870073125320722,-0.824065750103586,-0.828203660796227,-0.862605649744878,-0.745720991383255,0.363537549270476,0.0248697362250999,0.0253362542010243,0.00681149557515177,802,50
NA,0.0550681981344279,0.0837618362296567,-0.04931928763168,-0.0675284369747141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802,50
"predicate_1",NA,NA,NA,NA,-0.733013116440099,-0.793731591345984,-0.834020712881322,-0.750386277603765,-0.806290378486374,-0.858166174236084,0.0840808808606787,0.00460754987947136,0.00704591610370947,0.00912684290653377,103,50
"workerid",NA,NA,NA,NA,0.340930655940728,-0.745299355807897,-0.593483306111014,-0.616582328764838,-0.768355911029059,-0.88531473818562,0.277251452737487,0.331317488331545,0.0125592802192302,0.300978308069974,103,50
NA,-0.00925306164799471,0.0437741986287506,0.0317699612488306,-0.217426426567065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,50
"predicate_1",NA,NA,NA,NA,-0.699155774755175,-0.832728098650382,-0.871688162622254,-0.807332528620549,-0.492455613797586,-0.871824358009605,0.00796189165803833,0.143478367103614,0.0185194896449803,0.0427672932882374,702,50
"workerid",NA,NA,NA,NA,-0.646871506411466,-0.852657919419376,-0.205628450469517,-0.772165826951934,-0.772146647949531,-0.820101331038302,0.287881348097578,0.0101189681673388,0.00436635256063043,0.244085792666738,702,50
NA,0.155622818462865,-0.177592634627311,-0.196040415899793,-0.203087001015856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,50
"predicate_1",NA,NA,NA,NA,-0.662328321016843,-0.869708515923994,-0.838294588460693,-0.820900874989175,-0.798198336401626,-0.815585718292304,0.00542270632478324,0.0743379589591406,0.00348956516755045,0.00736477374860547,602,50
"workerid",NA,NA,NA,NA,-0.0288797505677121,-0.700876187842132,-0.79571280667891,-0.651532667359223,-0.898770585046249,-0.845196996628926,0.192250757946858,0.154387030829205,0.00492133691270865,0.208681798633512,602,50
NA,0.0921147411078319,-0.0552708806038562,-0.0381826086029427,-0.187534128675948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,50
"predicate_1",NA,NA,NA,NA,-0.873450293702171,-0.798837228753243,-0.910893019556775,-0.772277144428851,-0.839588159250674,-0.741739044184551,0.00483089443741398,0.0177038013588602,0.0483406030277813,0.0074563298629735,2,50
"workerid",NA,NA,NA,NA,-0.191114664931992,-0.787913079203988,-0.599071994665846,-0.712229544625363,-0.823509778216212,-0.80640254740584,0.153554932958165,0.28119309876347,0.00528413976502805,0.266909923746451,2,50
NA,0.14941400074956,-0.0543456349165494,-0.24246561004275,-0.177254468992443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50
"predicate_1",NA,NA,NA,NA,-0.654560592427382,-0.820532743121735,-0.740131164859759,-0.820187249608439,-0.731348254026343,-0.854812513537671,0.0163403996173084,0.0415815449549854,0.010295637005725,0.0141482166113856,903,50
"workerid",NA,NA,NA,NA,-0.147927906099987,-0.786466468418426,-0.736480525871537,-0.802764041529537,-0.823915742802959,-0.713094387304105,0.300506786529101,0.0591707388243281,0.0179533969398617,0.0337112052405741,903,50
NA,-0.00283095172981432,-0.0509674707411187,-0.0174122369381738,-0.175105902125691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,50
"predicate_1",NA,NA,NA,NA,-0.546813256937598,-0.898891333478176,-0.907867807829711,-0.810641284796136,-0.781479361256459,-0.779719268992738,0.019636978149986,0.196493725629366,0.0153962538572612,0.0261165381319829,803,50
"workerid",NA,NA,NA,NA,0.00767586284163421,-0.868464221352362,-0.881475631138451,-0.807254092975188,-0.920518368861385,-0.722038622761583,0.34022205707508,0.195348347361829,0.00429785377500716,0.240480268456594,803,50
NA,-0.133883720827307,-0.25865797180063,-0.0310756082903143,-0.0854956988706779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,50
"predicate_1",NA,NA,NA,NA,-0.705181202218478,-0.561724475645526,-0.823103247448748,-0.761878265968821,-0.805662936703503,-0.802312560423796,0.132837698163432,0.0276787609638298,0.0356548303059296,0.00408674814582856,703,50
"workerid",NA,NA,NA,NA,-0.483365112129976,-0.475168045386997,-0.732234894768286,-0.293196144034833,-0.829448601511548,-0.82244395768105,0.122018439067107,0.373728879246526,0.0368879878122331,0.0212175768075043,703,50
NA,0.0180862716695756,0.0521397112525567,-0.0847235927822513,-0.123157787001068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,50
"predicate_1",NA,NA,NA,NA,-0.804483796458235,-0.790126067703877,-0.845760193815804,-0.777039533344602,-0.777324954496138,-0.808715116954541,0.0362544239221967,0.00334745468160802,0.00612317996371742,0.0427272581057483,603,50
