"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"predicate_1",NA,NA,NA,NA,-0.592030907496642,-0.906335577576029,-0.874802004368554,-0.833564465309362,-0.817748156265326,-0.799669213902573,0.0957867928989217,0.015943194847723,0.0320967686230639,0.00316956024824361,1,100
"workerid",NA,NA,NA,NA,0.0572386234053363,-0.765822966629885,-0.432620459750155,-0.699896757524462,-0.405506136565556,-0.835772291422,0.211688994154005,0.273720795213747,0.00367979627014332,0.15685645435582,1,100
NA,0.0475592692587984,0.064080714094048,-0.120561831964006,-0.0724207077556251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100
"predicate_1",NA,NA,NA,NA,-0.676103837475603,-0.706904232271237,-0.679389696998903,-0.696830256323235,-0.739786321360803,-0.639088703814491,0.00732792989275706,0.192938292039426,0.00573378010247622,0.0101388992811421,901,100
"workerid",NA,NA,NA,NA,-0.00567411889270269,-0.637746331055709,-0.606183006879615,-0.731746609252561,-0.277617769101931,-0.804474154531712,0.358138378630339,0.208788527390004,0.00802439456605202,0.481126777841225,901,100
NA,0.136195736863704,0.0280835438492231,-0.100545177087539,-0.0162442549293662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901,100
"predicate_1",NA,NA,NA,NA,-0.75830001610966,-0.797808478821635,-0.800616566699261,-0.723744371617414,-0.639449340388076,-0.760763131515701,0.00303610463517744,0.0146093072170238,0.00349200184141873,0.0873317423325769,601,100
"workerid",NA,NA,NA,NA,-0.0730222903612426,-0.583690205626933,-0.737074645774622,-0.608770202385504,-0.210355894279921,-0.806592469728804,0.305650372422377,0.188479461497043,0.0070275354876278,0.542757675203715,601,100
NA,0.112005769753292,0.298076834755492,0.11501177701455,-0.130476964230649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,100
"predicate_1",NA,NA,NA,NA,-0.658833548962581,-0.796355745062982,-0.914889050007855,-0.768089668017563,-0.768814573207359,-0.836769120858845,0.0126142380034847,0.018226561426877,0.00816946514427508,0.0603034745780359,2,100
"workerid",NA,NA,NA,NA,0.243045926683752,-0.84001300810186,-0.665167987841636,-0.824619606979493,-0.834938710914946,-0.566913677944321,0.457638290014714,0.129776566294419,0.00418578278952137,0.517523000477163,2,100
NA,0.0344646149615909,0.293229042433929,0.0269837398954487,-0.112900535290975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100
"predicate_1",NA,NA,NA,NA,-0.81948289927639,-0.841434124830776,-0.785992766027686,-0.801739206441158,-0.700211361033736,-0.766387589270152,0.12658756141359,0.00442307954128225,0.00618015787181146,0.189897382539439,902,100
