"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
NA,0.165709425780994,0.227767127188851,0.00371027734270848,-0.0680394780563571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,200
"predicate_1",NA,NA,NA,NA,-0.580036367155431,-0.830864792687952,-0.705125698817525,-0.721162175506826,-0.695542806373333,-0.814959784714202,0.0205612867847879,0.113003606684524,0.00364742109937937,0.159067531688991,703,200
"workerid",NA,NA,NA,NA,0.233133819888693,-0.833244059218499,-0.542964302545942,-0.802832978174786,-0.829984797103612,-0.710854904144912,0.312904495119259,0.102494867706536,0.00219140136592955,0.267819440210946,703,200
NA,0.18120970115794,0.155999444709419,4.72525643557628e-05,-0.0112026575176255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703,200
"predicate_1",NA,NA,NA,NA,-0.800890453057488,-0.88720090700838,-0.758943728554371,-0.598700739832225,-0.337544053010278,-0.758906660821931,0.00144864842917778,0.0714709966058345,0.0201485642832201,0.0851794535727906,11,200
"workerid",NA,NA,NA,NA,0.0353373686885315,-0.735487624151036,-0.355502706994386,-0.600000201194801,-0.748637991270011,-0.903698566687586,0.281564731953563,0.404004618358605,0.00873087889690033,0.332476846535401,11,200
NA,0.0463281833251956,0.190113137057106,-0.00579662170215152,0.0480277830513611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,200
"predicate_1",NA,NA,NA,NA,-0.359974000773129,-0.744167123305223,-0.71193584286765,-0.671093613392734,-0.662491260442467,-0.72489148653543,0.00821539361262413,0.16747435020357,0.024389503697548,0.158783180097572,12,200
"workerid",NA,NA,NA,NA,0.147925603830292,-0.590666922134906,-0.513106080411025,-0.522153522084233,-0.296400802798099,-0.585660775653159,0.271617116897584,0.26170490848426,0.00578992782853706,0.457670095755625,12,200
NA,0.188579912669248,-0.0337802043622541,-0.113129628147569,-0.19408587226243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,200
"predicate_1",NA,NA,NA,NA,-0.137977507383055,-0.836466389028233,-0.596866757057209,-0.829453234206849,-0.571853819588153,-0.791431004011714,0.0779119779786244,0.123812642832284,0.00424139881728674,0.0272190036844899,13,200
"workerid",NA,NA,NA,NA,0.0293739705747664,-0.564287402067,-0.574027016246241,-0.595615989527078,-0.194770644956437,-0.810129142939969,0.269156818060097,0.348311084334202,0.00582308568407064,0.401044129208737,13,200
NA,0.14648375191796,0.165926838579051,0.00415475350302124,-0.115607108500413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,200
"predicate_1",NA,NA,NA,NA,-0.568495692042471,-0.790247656087928,-0.729145160275004,-0.785266570788926,-0.592569088206639,-0.808696975794588,0.0509973488578088,0.159181506131953,0.00249203499541797,0.194348869602824,14,200
"workerid",NA,NA,NA,NA,-0.066333212108352,-0.583188456082644,-0.454607495926609,-0.507643867400435,-0.687049135350227,-0.819102204984402,0.319872931745241,0.113122110324336,0.00860728508765328,0.23660506132753,14,200
NA,0.15424673492626,0.0389005999668845,-0.013416338049574,-0.290082226362291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,200
"predicate_1",NA,NA,NA,NA,-0.420458247979585,-0.822804942984895,-0.719862619122224,-0.73453777277111,-0.427970603311318,-0.901743344147449,0.0628606522646156,0.0447264122581133,0.00758594623617011,0.110482080990667,15,200
"workerid",NA,NA,NA,NA,-0.710406339941885,-0.687480421399173,-0.338234851802734,-0.794756149342775,-0.750041742310573,-0.710441285878225,0.328768600490505,0.0036996407820692,0.00318142149744627,0.227262734102226,15,200
NA,0.19336484993646,0.0364348256647415,-0.108928513557022,-0.167300598049115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,200
"predicate_1",NA,NA,NA,NA,-0.66116076807089,-0.923364654231107,-0.833192831466186,-0.828925100325298,-0.885484387846544,-0.672271060898345,0.0646822492520014,0.00400478918365294,0.00271484681313552,0.0473079847196477,16,200
