"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.675951517237624,-0.70650928395512,-0.882972444340234,-0.623904356741257,-0.560200203147138,-0.922588514977774,0.0041981455534396,0.0569060769062012,0.015912711376679,0.214787069265706,1,100,15
"workerid",NA,NA,NA,NA,0.117646051582947,-0.602472710098491,-0.53867739668156,-0.508895541815708,-0.322652232234283,-0.673334019795262,0.130744713217983,0.378009289151932,0.00631570401661383,0.349051763637445,1,100,15
NA,0.134117205382797,0.105114572419267,-0.0601885312751824,0.0256507006761499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100,15
"predicate_1",NA,NA,NA,NA,-0.401409942592962,-0.793260367406132,-0.794026412716714,-0.752285412395625,-0.793941188057933,-0.859755144743547,0.091923901970926,0.0138016447654524,0.00992511781462069,0.0428197598574944,2,100,15
"workerid",NA,NA,NA,NA,-0.252209898070096,-0.450593645777186,-0.611298726014816,-0.651380880558008,-0.893879794995905,-0.314824287754185,0.293788613863689,0.0589260831680736,0.0423559145214774,0.417587492937884,2,100,15
NA,0.166047000025961,0.143702249304432,0.0169945381066983,-0.0977120573853828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,15
"predicate_1",NA,NA,NA,NA,-0.718032638233332,-0.809314713508114,-0.810539604952583,-0.503073291581101,-0.724056553115938,-0.80195597705411,0.00307889481943893,0.0276599868263904,0.0311696846397495,0.00556471506664742,3,100,15
"workerid",NA,NA,NA,NA,-0.051168076604281,-0.832150572287099,-0.249601362173356,-0.752310299044085,-0.525356072580128,-0.785472653716918,0.151102394677118,0.241368774715524,0.00389331224304523,0.193817487200144,3,100,15
NA,0.172300831516948,0.0232806463154986,-0.170741053591095,-0.297954837334727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,100,15
"predicate_1",NA,NA,NA,NA,-0.653928946834152,-0.959208239341138,-0.871921861873582,-0.814213602524352,-0.744419542602537,-0.687278227040614,0.0967954309965309,0.00813820483395394,0.0438497398220676,0.00890964341883136,4,100,15
"workerid",NA,NA,NA,NA,-0.0460532613834024,-0.541922608009335,-0.528864374482902,-0.370725444313859,-0.768176531123305,-0.859551912002316,0.206314399291735,0.216677008619542,0.0194992118324149,0.20827020387979,4,100,15
NA,0.15870527523837,-0.0700086864486038,-0.169726969317978,-0.216909148256188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,100,15
"predicate_1",NA,NA,NA,NA,-0.815764355804099,-0.885566243125997,-0.799710929330318,-0.791118879583756,-0.755623731047214,-0.83272535118132,0.118451012333765,0.00301043444730202,0.0491463784397905,0.00502523356791385,5,100,15
"workerid",NA,NA,NA,NA,0.0115464626043004,-0.733723218295118,-0.553708553948899,-0.790522359371008,-0.908203316648141,-0.682799988986469,0.364038157776755,0.228380391906414,0.00474701878665489,0.37566187169205,5,100,15
NA,0.17620906813863,0.200703707743781,-0.260154971190168,-0.151188913616278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,100,15
"predicate_1",NA,NA,NA,NA,-0.845350064033263,-0.854655645850396,-0.836747856747611,-0.856565548078726,-0.852482861564174,-0.727826288198545,0.00146777968174506,0.00366666590635066,0.159740873764014,0.00412223464377287,6,100,15
"workerid",NA,NA,NA,NA,-0.389229849618643,-0.475872138795827,-0.369011822669254,-0.603270394490288,-0.795649970139248,-0.59168059675843,0.271433280016918,0.0163511110525289,0.0102323267999352,0.372613460165831,6,100,15
NA,0.189098138704902,0.0311381680754784,-0.152442056809471,-0.151487956089862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,100,15
"predicate_1",NA,NA,NA,NA,-0.747399639949003,-0.753257059005904,-0.756514569782937,-0.731008502517791,-0.712938879428998,-0.844696316599154,0.128000590130785,0.0126210025751601,0.0204045989041166,0.00405954422752068,7,100,15
"workerid",NA,NA,NA,NA,0.299407212396692,-0.625335936431031,-0.657211839317219,-0.650061514490923,-0.722575472178518,-0.798406216269241,0.34388718004935,0.28906513038131,0.00868406374872753,0.507881372485692,7,100,15
NA,0.115679979111765,0.138453694091738,-0.0624483762964365,-0.0460186406540875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,100,15
"predicate_1",NA,NA,NA,NA,-0.576993807432992,-0.825891051557418,-0.747380457836754,-0.860703921558484,-0.531892777050103,-0.70301057693903,0.0123858505575813,0.144539601318785,0.00773611693073744,0.0278470980419416,8,100,15
"workerid",NA,NA,NA,NA,-0.437696148815596,-0.403327928260017,-0.549743979746901,-0.894986564174238,-0.351070226747918,-0.715469113361029,0.348145784572154,0.282266343956199,0.0213215615615589,0.244318610437392,8,100,15
NA,0.143430546303106,0.153058240621198,-0.0470154555378587,0.11515296901512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,100,15
"predicate_1",NA,NA,NA,NA,-0.749992153950121,-0.890424565205793,-0.461312770080865,-0.82040565086976,-0.78232366505426,-0.778994751716843,0.111857739572968,0.00285808542829506,0.00567600580307616,0.018648176203108,9,100,15
"workerid",NA,NA,NA,NA,-0.126633906201591,-0.534683766570637,-0.735601921075659,-0.676046414907971,-0.603359568239232,-0.743726345608242,0.21765213114422,0.191074342542511,0.0102928002786975,0.525244511465179,9,100,15
NA,-0.058351483998871,0.220131032407362,0.0205305776337731,0.152885823261738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,100,15
"predicate_1",NA,NA,NA,NA,-0.927204831934761,-0.775798466607393,-0.624757491287185,-0.819642688863309,-0.816662845577974,-0.69172495286188,0.0897736798951361,0.00571451199144393,0.0101838676150231,0.020495787899182,10,100,15
"workerid",NA,NA,NA,NA,-0.0297908966418687,-0.498468876763013,-0.753719348970342,-0.434481789803685,-0.806525241299111,-0.794222652625166,0.196394296350539,0.123837722752918,0.0165310296401532,0.0484905821760038,10,100,15
NA,0.183917660038983,-0.103244108767776,-0.0641307223190168,-0.290065892247554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,100,15
"predicate_1",NA,NA,NA,NA,-0.600130575471663,-0.767507861689528,-0.840786454512584,-0.725367419471067,-0.417521268094089,-0.776978065338945,0.0054777469377202,0.168876007185863,0.00383015231040299,0.0587679017531453,11,100,15
