"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.825250663045742,-0.891667725411696,-0.837536173015181,-0.298162817332237,-0.589886147537665,-0.922427932236544,0.0010336197776302,0.255865769570593,0.113010166495759,0.028139911347538,21,300,18
"workerid",NA,NA,NA,NA,-0.272663642477976,-0.685525910076285,-0.626013965368793,-0.183633739956515,-0.306810087874971,-0.211188692140301,0.366879999565918,0.239637764812915,0.0172448630648253,0.438038153153493,21,300,18
NA,0.109879131978566,0.174646719549215,0.0210995076550694,0.100294089553281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,300,18
"predicate_1",NA,NA,NA,NA,-0.683390605799185,-0.863032137167825,-0.665962284496272,-0.707244622693766,-0.209015562886216,-0.805134273513787,0.00515972074300006,0.211442658160062,0.00492018318022515,0.0159226804293138,1,300,18
"workerid",NA,NA,NA,NA,0.165537669266643,-0.591215571057598,-0.558730393194783,-0.403070522573172,-0.00027889219733251,0.116602890911756,0.232201040873023,0.39930692466259,0.0379612547086086,0.468132296759798,1,300,18
NA,0.21020050617505,-0.0881038000401243,-0.0186911214459204,0.0626473899481991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,18
"predicate_1",NA,NA,NA,NA,-0.591068966147304,-0.706342163182376,-0.717648732034353,-0.130093593052863,-0.841310523310581,-0.825232178316424,0.0636728829740774,0.169418819930242,0.0135482260913855,0.00262699807945197,22,300,18
"workerid",NA,NA,NA,NA,0.506092068089286,-0.823811862205708,-0.568691887872395,-0.800161361819584,-0.555079523623153,-0.809747861068336,0.365978576485303,0.277311453723159,0.00629760683464948,0.602134495535805,22,300,18
NA,0.100418549399868,0.189310919159098,0.107293152818789,0.0173990976466222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,300,18
"predicate_1",NA,NA,NA,NA,-0.567980526710624,-0.665690092414114,-0.763861345434027,-0.511235226790082,-0.28215967843853,-0.748380636900289,0.00704673715690151,0.26258362333268,0.00484043259137471,0.183150220117506,2,300,18
"workerid",NA,NA,NA,NA,0.611351626561216,-0.828731485223125,-0.474883551152788,-0.804718689231136,-0.614646637930006,-0.819070501074844,0.337448927167526,0.336907166267911,0.00235991205039717,0.458643097515418,2,300,18
NA,0.222698175241412,0.0602205500279047,0.0190033220864869,-0.0210667570965351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,300,18
"predicate_1",NA,NA,NA,NA,-0.720880476984266,-0.802752170972708,-0.378693536085649,-0.507265835027042,-0.72738350270422,-0.880546329542404,0.0224991592374513,0.0981088631647409,0.0115248081281539,0.0556038835919309,23,300,18
"workerid",NA,NA,NA,NA,0.0345415768238332,-0.876179822624783,-0.699182738122524,-0.783559938749976,-0.903146385505307,-0.683627555178292,0.384486923584507,0.161356517748954,0.00288147860914679,0.287464808569582,23,300,18
NA,0.250126815335572,0.134258325879248,0.0115543120634992,-0.0343544176550226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,300,18
"predicate_1",NA,NA,NA,NA,-0.12195808620603,-0.841943837305862,-0.603299871000197,-0.73996004407131,-0.488061161301336,-0.840229954963941,0.0426108009722646,0.0497531429167463,0.00240383434171284,0.102437071488953,3,300,18
"workerid",NA,NA,NA,NA,0.15459842967587,-0.0868627020061642,-0.623587336742777,0.376342835446595,-0.788869384503286,-0.828222387707682,0.377896780338198,0.393839650516921,0.0642824923503618,0.418540623875031,3,300,18
NA,0.258138832196276,0.0903070127370439,0.0845385049656318,0.0759104336421896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,300,18
"predicate_1",NA,NA,NA,NA,-0.424532303426974,-0.963733613737671,-0.0895972177581639,-0.827295763257665,-0.384908610808898,-0.860441784373367,0.0469734060196646,0.0206284871104985,0.0117023837957722,0.0489454689101569,24,300,18
"workerid",NA,NA,NA,NA,-0.0794166713453348,-0.418339374842023,-0.554821196621472,-0.682654746883136,-0.437903880187495,-0.555635527944016,0.328182451779261,0.139416247414194,0.00686024366113619,0.532663210067254,24,300,18
NA,0.228329571603898,0.0203364908598388,-0.0775986945993042,-0.109820394174101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,300,18
"predicate_1",NA,NA,NA,NA,-0.283588829461123,-0.71991612397248,-0.857463518589646,-0.647885320198971,-0.541429620318188,-0.769802457699676,0.0802341394502103,0.0364307567061945,0.00251018537198325,0.245150197186855,25,300,18
"workerid",NA,NA,NA,NA,0.0039436072399503,-0.660600168028812,-0.618351573825879,-0.678055207083423,-0.768557688976207,-0.853097454683923,0.33526482893092,0.236881084933163,0.00300248342472619,0.388174646795009,25,300,18
NA,0.222961318816821,0.0228132876648683,-0.0450516065912679,-0.0283278297227133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,300,18
"predicate_1",NA,NA,NA,NA,-0.780887655581454,-0.752546179496377,-0.739245902855812,-0.831326621057333,-0.780632518447286,-0.810507289365087,0.0699938715416437,0.00216848452743942,0.0681266394496932,0.00383083971075082,26,300,18
"workerid",NA,NA,NA,NA,-0.0147518672402173,-0.355326268448091,-0.634501300133653,-0.360325023033835,-0.274618319523445,-0.923378418827786,0.338834728413038,0.331010422741482,0.0232601521891897,0.432621594210646,26,300,18
NA,0.141912268801031,0.127134462866266,-0.0646360968026878,0.0978588795913045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,300,18
"predicate_1",NA,NA,NA,NA,-0.215573217615391,-0.619511478367623,-0.791535589897629,-0.287611725403662,-0.787434962611709,-0.880308471134788,0.0968013971964382,0.08269930576605,0.0139096232109994,0.0174799962106844,27,300,18
"workerid",NA,NA,NA,NA,0.354522379956826,-0.691628112004903,-0.339578264664572,-0.67861283576735,-0.709897790585939,-0.83370113047767,0.265665512235987,0.382598199385629,0.00336067691485168,0.470996001088311,27,300,18
NA,0.244813737056404,0.285789467722815,-0.0283186571642401,-0.0541268191727606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,300,18
"predicate_1",NA,NA,NA,NA,-0.376180362317491,-0.682781976525033,-0.883156596768375,-0.666838281643103,-0.727448439272707,-0.83382742344119,0.140925805611102,0.0188131421130955,0.00893365964379809,0.0648799010416171,4,300,18
"workerid",NA,NA,NA,NA,0.239112649098803,-0.590615971824755,-0.488379498238139,-0.752344283042353,-0.243109501699736,-0.867554728714058,0.386600787134531,0.276101466781549,0.00282567483447441,0.528849955495722,4,300,18
NA,0.200683360551817,0.0778141865228257,0.029339606497131,-0.0370117327723638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,300,18
"predicate_1",NA,NA,NA,NA,-0.710304264288192,-0.741808484569093,-0.79947408986099,0.0834747910198838,-0.816306780504725,-0.925224263453444,0.0585182330723007,0.210541243896383,0.124935938704254,0.0573018651493718,5,300,18
"workerid",NA,NA,NA,NA,0.234798059346121,-0.362637973380984,-0.361770565125497,-0.504933144125051,-0.38505337331452,-0.642732218723394,0.25361619218298,0.451620686264802,0.00862136681298458,0.36318607242688,5,300,18
NA,0.169248570824497,0.138386048167167,-0.0618200338629613,-0.0265732811141997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,300,18
"predicate_1",NA,NA,NA,NA,-0.369617857194365,-0.957811737716717,-0.730467431064529,-0.810408741382303,-0.385404286554439,-0.665924163248728,0.0520281910799663,0.0823904206545042,0.002916958241247,0.182146877600562,6,300,18
"workerid",NA,NA,NA,NA,0.273715229436599,-0.559300162796548,-0.462668580433157,-0.388660485337553,-0.541149806545863,-0.86263556169886,0.336718747207608,0.514577518634436,0.00783971639088989,0.376414852612759,6,300,18
NA,0.218919148323579,0.233153988733566,0.0367712986972442,-0.0721520853227747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,300,18
"predicate_1",NA,NA,NA,NA,-0.669705625672718,-0.835435967447345,-0.751522840457306,-0.74019026127017,-0.458274159644746,-0.763214797428953,0.00256611540488799,0.111517194742816,0.00170542433366368,0.00907823075460343,28,300,18
"workerid",NA,NA,NA,NA,-0.106602112620113,-0.329788300034355,-0.607731053610194,-0.574144558935321,-0.154999249799623,0.0262006379955779,0.361641640315739,0.23056336346247,0.0717553203981396,0.529816110258358,28,300,18
NA,0.278428722768405,-0.013193282656834,-0.0175807987899845,-0.0748976377113822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,300,18
"predicate_1",NA,NA,NA,NA,-0.378976170924583,-0.64923396264097,-0.763990318884731,0.122391714941191,-0.914994125498309,-0.951374919483139,0.0434411107893844,0.144150297646254,0.0994831389631938,0.0907248272193274,7,300,18
"workerid",NA,NA,NA,NA,0.266803139426595,-0.595548701849093,-0.453650178021848,-0.566058561484887,-0.739689679610436,-0.775547237848022,0.29669236348703,0.240597328932423,0.00391140726471524,0.435153169475562,7,300,18
NA,0.221199781693641,0.0220481266090943,0.0038905499304371,0.0114665651327497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,300,18
"predicate_1",NA,NA,NA,NA,-0.0949748058753877,-0.848904766879742,-0.582084119130385,-0.89009108489559,-0.40125930533692,-0.798324176828806,0.0917220054555876,0.0680975575797313,0.0602196263264289,0.14083214674041,29,300,18
"workerid",NA,NA,NA,NA,-0.101959353010555,-0.0835640305683566,-0.375388319064247,-0.201511412471873,-0.297500634480053,-0.647349892408454,0.252696593216802,0.386870422670784,0.111458366317519,0.402120169524612,29,300,18
NA,0.105718342183318,0.206538913151298,0.0642715184720083,0.044171473281036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,300,18
"predicate_1",NA,NA,NA,NA,-0.640126527593652,-0.758937153035211,-0.678408416298279,0.0633238454264073,-0.415681883624304,-0.64692940724055,0.00201132948580845,0.119241809762449,0.146188046183097,0.188069024292229,8,300,18
"workerid",NA,NA,NA,NA,0.123457344075129,-0.574565162068883,-0.703172364011687,-0.198137224549697,-0.233357382468654,0.365242837944974,0.295302372994634,0.119538382171588,0.112871112258213,0.591521454374823,8,300,18
NA,0.118412669869296,0.0950468314252708,0.0739377487961328,0.103203891064138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,300,18
"predicate_1",NA,NA,NA,NA,-0.363821817186823,-0.816963087023503,-0.770828927958078,-0.515983417573536,-0.822764516974254,-0.888348238521629,0.0842167709022625,0.0536695560060131,0.0304186980681484,0.007382684153349,30,300,18
"workerid",NA,NA,NA,NA,0.379140288624904,-0.849080015094775,-0.734046952669088,-0.823513121566799,-0.684341164955919,-0.606067169308478,0.437354462796317,0.159723927523275,0.00276691053615403,0.59911323106837,30,300,18
NA,0.260882661102941,-0.0867208216876121,-0.0941573182975366,-0.0747150345150909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,300,18
