"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.821894368166024,-0.801039738103411,-0.758020885833662,-0.778751821849809,-0.792606592150769,-0.784885684838633,0.0273845331361315,0.00545521973935022,0.00438195988698223,0.0042002498448458,1,100,12
"workerid",NA,NA,NA,NA,0.222166181570073,-0.694320907619582,-0.371605479394072,-0.618752354110199,-0.299814310927818,-0.79957104595424,0.142646641218098,0.397046981768974,0.00597761157482572,0.239943665836037,1,100,12
NA,0.179248941787028,0.013247381610802,-0.0241468780854782,0.0687815604842708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,100,12
"predicate_1",NA,NA,NA,NA,-0.741922661732642,-0.725150885836548,-0.779608403012606,-0.785235323411065,-0.785579253191688,-0.777437129895651,0.0942228582755503,0.0035858653453513,0.00331389478779335,0.00453498852976902,81,100,12
"workerid",NA,NA,NA,NA,-0.348277525475742,-0.666454726817344,-0.710964549058892,-0.655311190425947,-0.174379074820919,-0.709507717503657,0.307836759787565,0.61708186162702,0.0048612681129224,0.297205900002854,81,100,12
NA,0.045709589659733,0.206520576028623,-0.0469243135522642,0.100867517832539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,100,12
"predicate_1",NA,NA,NA,NA,-0.595307262002054,-0.589518757172124,-0.889137416340671,-0.658116294950052,-0.88674561844802,-0.830990466312665,0.045877927585331,0.0706943877386175,0.00892960841015335,0.00805202463414065,2,100,12
"workerid",NA,NA,NA,NA,-0.291735294177492,-0.573219604234453,-0.242393453832609,-0.497430029865963,-0.666522230353718,-0.821444233891089,0.180834712142118,0.36827132037867,0.0118591815687509,0.176112820337771,2,100,12
NA,0.0663513067692981,0.0100505729866913,-0.114827897251319,-0.0110655516558052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,12
"predicate_1",NA,NA,NA,NA,-0.656595457472115,-0.777216094794969,-0.697184415363305,-0.817691630569817,-0.623522559499363,-0.839123879381342,0.0127946317878378,0.00572204610206433,0.0811578851195854,0.0146522784811119,61,100,12
"workerid",NA,NA,NA,NA,0.0368326000224697,-0.778040632749365,-0.47842938514532,-0.872510733843306,-0.66245901198646,-0.644449933317257,0.286555758049977,0.287037706457307,0.00307205967292112,0.314381492876426,61,100,12
NA,0.0929391997294109,0.132294787170051,-0.164264108759147,-0.0252765836116718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,100,12
"predicate_1",NA,NA,NA,NA,-0.728210336361183,-0.885989427044317,-0.80075031507315,-0.869360252749715,-0.73221005087274,-0.726276193458462,0.00584241028997674,0.00781587485366354,0.00728898803297281,0.0686985690343299,41,100,12
"workerid",NA,NA,NA,NA,0.046571178620589,-0.876621999658188,-0.48869438397056,-0.862533135352572,-0.619524322847646,-0.747420840777482,0.260400754807044,0.251292169291241,0.00485415248652676,0.322882751967975,41,100,12
NA,0.143470345525597,0.0694092379195594,-0.109660255056518,-0.168960419639468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,100,12
"predicate_1",NA,NA,NA,NA,-0.762098707217829,-0.823139794703717,-0.722659891371104,-0.818082246550038,-0.909151414861573,-0.774523328670811,0.0107541386525463,0.0106876775455938,0.00254632532624031,0.153051561308576,21,100,12
"workerid",NA,NA,NA,NA,0.221767791715994,-0.743022855188507,-0.754111125759829,-0.734378808873705,-0.658347987348645,-0.80324044148484,0.361683796158546,0.303341377990426,0.00414024484851461,0.503324449467434,21,100,12
NA,0.0852176334492092,0.00839215648904895,0.0329169130743382,-0.0708741159308741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,100,12
"predicate_1",NA,NA,NA,NA,-0.821408896442306,-0.787597359529907,-0.576377944094162,-0.837945421387609,-0.679630858394507,-0.764268817610884,0.00845846174733919,0.0112722524177706,0.00853752353285258,0.0637130735735392,82,100,12
"workerid",NA,NA,NA,NA,-0.148925344414955,-0.285327466599568,-0.481775628470849,-0.232945816645744,-0.343754882098745,-0.717785007970523,0.185355031098331,0.450551172781887,0.0251756891593641,0.394746183560193,82,100,12
NA,0.0710192088749093,0.172688860198249,-0.0421677728968328,0.0580393492341492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,100,12
"predicate_1",NA,NA,NA,NA,-0.538247706924473,-0.754457470881615,-0.901954981052328,-0.700773672733491,-0.835030645414613,-0.865113486683654,0.00830863543677735,0.209524755662276,0.0155262080363597,0.0246271468077259,3,100,12
"workerid",NA,NA,NA,NA,-0.179118287779012,-0.763528827209041,-0.605691536496542,-0.736389094752768,-0.86019587832044,-0.72702970142986,0.357204578504518,0.174301304415893,0.00410169024480931,0.467757272924536,3,100,12
NA,0.0766280481613958,0.0456277483440975,0.0579666084754289,-0.0540014545780584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,100,12
"predicate_1",NA,NA,NA,NA,-0.801378203212648,-0.79374740408577,-0.799434584124158,-0.763012202651195,-0.818153579109265,-0.788025671468721,0.0399329578622066,0.00427749302345354,0.00434132087835915,0.016822711598996,42,100,12
"workerid",NA,NA,NA,NA,0.200920285471848,-0.57656061218596,-0.843498283763675,-0.548994925271247,-0.858373814013299,-0.788549159225983,0.274138566866912,0.191197424070231,0.0052583295206514,0.150467144147125,42,100,12
NA,0.0384081286200434,0.225581786756572,0.0748539241633627,-0.119605959313181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,100,12
