"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"predicate_1",NA,NA,NA,NA,-0.261883263667729,-0.847733123058443,-0.697012902891485,-0.364690442249972,-0.670139290894576,-0.837177239609502,0.0520647632806202,0.313336137091004,0.0778668671727574,0.00347181593505466,1,250
"workerid",NA,NA,NA,NA,0.0443684507841967,-0.33286607713931,-0.578659688984102,-0.182652796307877,-0.799384246319824,-0.853367786865002,0.268388345856986,0.334572821048622,0.0177448669072986,0.244487118919871,1,250
NA,0.162047954603618,-0.0407567041110591,-0.135656320844161,-0.0395544899916963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,250
"predicate_1",NA,NA,NA,NA,-0.601932836214255,-0.912749322583685,-0.77867087346218,-0.816825895837982,-0.770574025472794,-0.791859393894567,0.113664898240619,0.00581151327089465,0.00264662330646452,0.00207048444397598,2,250
"workerid",NA,NA,NA,NA,-0.190313706331252,-0.701738091632156,-0.632821659346048,-0.881333881129014,-0.549656311525533,-0.597682529648091,0.316538460594409,0.162625886475594,0.00527132618855711,0.349273434984504,2,250
NA,0.200579733152831,0.122882250153749,0.0249517897946833,0.00806871040680061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,250
"predicate_1",NA,NA,NA,NA,-0.594841366965615,-0.800316572476373,-0.747492217955435,-0.84530223057293,-0.707648237728564,-0.750681246487593,0.127974956559274,0.0977694287608259,0.00441552589321726,0.0965114694465336,3,250
"workerid",NA,NA,NA,NA,0.326749670286989,-0.726463710297346,-0.176459811966796,-0.603723869386882,-0.475127072288645,-0.818103825891133,0.278842655383447,0.51461285490903,0.00328575437864875,0.276020215009072,3,250
NA,0.220250081414106,-0.112977341430461,-0.143144332656091,-0.153322505092801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,250
"predicate_1",NA,NA,NA,NA,-0.714361433466137,-0.573989162693691,-0.742248019917931,-0.747847444759671,-0.762588392067887,-0.703306438113947,0.0623695422166623,0.00341022811815431,0.0136189249373836,0.0280401725053481,4,250
"workerid",NA,NA,NA,NA,0.0287134772656885,-0.733690165432922,-0.67027170663709,-0.767587837956553,-0.797363425228497,-0.728420335056738,0.332355358302389,0.0775852725375639,0.00165521448187786,0.478337213408123,4,250
NA,0.171701547489298,0.197593984346048,-0.0284201193834288,-0.128437815283445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,250
"predicate_1",NA,NA,NA,NA,-0.465283227425426,-0.558551252992956,-0.939052171728542,-0.713865025979412,-0.858072956518239,-0.636453067445663,0.0616461960572938,0.0643126132084915,0.109949409378248,0.0227813023637244,5,250
"workerid",NA,NA,NA,NA,0.281366255493838,-0.477469642540007,-0.402083858841505,-0.481008613638623,-0.59975748312555,-0.708926257449699,0.341588938989344,0.229838585964884,0.0057006285133026,0.47840806937869,5,250
NA,0.167649678952343,0.238905639797126,-0.0530758104714365,-0.0546730837073203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,250
"predicate_1",NA,NA,NA,NA,-0.532942943720635,-0.468773435220667,-0.611732113362303,-0.353413249927973,-0.885780352877004,-0.905851510008598,0.0925153056009942,0.124577489473002,0.0743691502427687,0.104680759864897,6,250
"workerid",NA,NA,NA,NA,-0.0752940572773838,-0.394307865017198,-0.706615549828561,-0.141203228211136,0.0432077755898615,-0.555977527160818,0.310395092028279,0.279063380973372,0.0151431030385711,0.520459520053971,6,250
NA,0.179126151359353,-0.0446884814743289,-0.1261302692313,-0.0272981970097761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,250
"predicate_1",NA,NA,NA,NA,-0.505973464867883,-0.832986707968179,-0.87495588667897,-0.800020273346501,-0.715671017773055,-0.727395709001117,0.0732378185761694,0.239900030398344,0.00165090911106038,0.0103004383721549,7,250
"workerid",NA,NA,NA,NA,0.176253134441796,-0.147903573156664,-0.420250999840201,0.209972869245776,-0.804331479685323,-0.867843244413609,0.28456559680916,0.305776467309,0.0791163005519547,0.271808171361811,7,250
NA,0.144900602116144,-0.0919366870494098,0.0296675218597496,0.0163203271354145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,250
"predicate_1",NA,NA,NA,NA,-0.310381321311082,-0.646865141102695,-0.348912352998717,-0.449388827835551,-0.379000996876052,-0.919082265954772,0.070230741927259,0.0810013150562514,0.179693012373419,0.0930176133697379,8,250
"workerid",NA,NA,NA,NA,0.155425638916659,-0.553295140574111,-0.343653547155768,-0.599148999448338,-0.559333817892873,-0.799568604859561,0.269666386598615,0.410469818193003,0.00679013065408567,0.401875968559059,8,250
NA,0.219558751437442,0.157386481890696,-0.0387984850498735,-0.0918509970973559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,250
"predicate_1",NA,NA,NA,NA,-0.33484839278454,-0.80930985154572,-0.612182334690064,-0.453813758277963,-0.497609521372251,-0.863291738401578,0.00839258205845989,0.123539776978078,0.0852128335711392,0.00994845212653875,801,250
