"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.719498240217054,-0.812330471551984,-0.799319978978118,-0.157006751892166,0.0590588544361107,-0.128875288609707,0.00145257676511604,0.165960538946212,0.0308716077928618,0.113275518102832,1,350,15
"workerid",NA,NA,NA,NA,0.535243613516086,-0.390859881507054,-0.537723356305943,-0.359187187637616,-0.520021982938875,-0.696608887715569,0.329679198891361,0.445376925723514,0.00702086846862919,0.320337575653323,1,350,15
NA,0.288755150115429,0.163492932237908,-0.0406157687100148,-0.116497888666728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,350,15
"predicate_1",NA,NA,NA,NA,-0.819811042455006,-0.976222063428487,-0.774640698066249,0.153673551819741,-0.566831352405702,-0.667435899579309,0.0838509036310641,0.231685352300304,0.155758038408315,0.00390832642399286,2,350,15
"workerid",NA,NA,NA,NA,0.310716304306428,-0.9558824813277,-0.676557553380072,-0.896743291426763,-0.847034042924141,-0.0422433653408332,0.417080893981032,0.178016024019868,0.103961745557321,0.431756065404261,2,350,15
NA,0.209944351399547,0.0948936385034207,-0.129528340789782,-0.040481037392145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,350,15
"predicate_1",NA,NA,NA,NA,-0.501318813981503,-0.944704785789071,-0.449984087596116,-0.82980366984321,-0.831228867969094,-0.652178998061067,0.0574187525202505,0.0228475431022137,0.12681743583212,0.0936014698370457,3,350,15
"workerid",NA,NA,NA,NA,0.170364946832168,-0.587222933234066,-0.60357865278357,-0.586551526762314,-0.623196495670501,-0.892293157331414,0.352905125977785,0.338803691106749,0.0114347858017865,0.37731790717929,3,350,15
NA,0.239804899352658,0.0879777788841161,-0.121816623521049,-0.149793024427069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,350,15
"predicate_1",NA,NA,NA,NA,-0.630139498187087,-0.302836553034529,-0.624926712536852,-0.420130735704289,-0.911016434240847,-0.860768868784936,0.0816193059019423,0.0078110608409116,0.0521008312934814,0.0681471872866138,4,350,15
"workerid",NA,NA,NA,NA,0.429077758091914,-0.599930207418106,-0.260705359151503,-0.568825055776665,-0.0409278184400621,-0.527217364295179,0.231758203697323,0.494829392941577,0.00389022781894531,0.380396837289593,4,350,15
NA,0.270105652345834,0.0853891847526829,-0.0603429999881627,-0.0736302035716501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,350,15
"predicate_1",NA,NA,NA,NA,-0.201325621528058,-0.753357745926688,-0.239198752253783,-0.225994609923665,-0.393803008778749,-0.909273407644844,0.0321396630557518,0.184614163317894,0.133379912129719,0.140561680890163,5,350,15
"workerid",NA,NA,NA,NA,0.233842605939737,-0.0663780002773251,-0.41302007116274,-0.217600752986131,-0.0840792618921542,0.0483903140166732,0.259205264632872,0.205155619348192,0.157176298538792,0.46512509496305,5,350,15
NA,0.184961535787927,0.0782663824685723,0.0152100328034336,0.0356685341113375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,350,15
"predicate_1",NA,NA,NA,NA,-0.879185982860611,-0.765477813068005,-0.298443942900091,-0.696787315240844,-0.786897072264154,-0.92017543071117,0.135088195575086,0.00389242965404335,0.0172149000512797,0.121859216659032,6,350,15
"workerid",NA,NA,NA,NA,0.407881017971231,-0.550782404478441,-0.376544056480373,-0.523198798978337,-0.625860318384634,-0.833296251174576,0.35396673732678,0.243525252435579,0.00494433038976907,0.39609534288034,6,350,15
NA,0.235286541806665,0.118281490079423,-0.070369067829258,-0.0683861058665633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,350,15
"predicate_1",NA,NA,NA,NA,0.363559523161764,-0.785850400878138,-0.897016797984242,-0.716629157779185,-0.847802376457085,-0.812630413150999,0.102515053631303,0.16879781584357,0.00180164359975651,0.299380441501139,7,350,15
"workerid",NA,NA,NA,NA,0.193602856476405,-0.70399809035868,-0.416980180050936,-0.705240030973382,-0.71258297098227,-0.781599452316035,0.38302321025041,0.235781142096419,0.0033541589372216,0.524578983050173,7,350,15
NA,0.0945512281246243,0.0303089859061809,0.127646430153122,-0.202173462136971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,350,15
"predicate_1",NA,NA,NA,NA,-0.433687488623796,-0.781905201395433,-0.746805721926659,-0.878948151257986,-0.779330665954009,-0.730871191417635,0.0862030690569298,0.0699951269987232,0.0109750503726922,0.0888256168736464,8,350,15
"workerid",NA,NA,NA,NA,0.295889605188698,-0.101964698452909,-0.427328292096252,-0.0232999935488564,-0.628314033847657,-0.853265012976747,0.301445705949981,0.140389750422086,0.0550862534377929,0.37518295999231,8,350,15
NA,0.173855525154461,0.210845268848663,0.0105397216899409,-0.052654061507017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,350,15
"predicate_1",NA,NA,NA,NA,-0.424715275048467,-0.73244733206263,-0.821118744219887,-0.696627299449789,-0.0377683649024819,-0.807638380904629,0.0718687443120576,0.174086449837211,0.00197803984538205,0.184961177516691,9,350,15
"workerid",NA,NA,NA,NA,0.0124977230279267,-0.702978632426252,-0.422012129263236,-0.757840233645927,-0.777290001103717,-0.807998203844976,0.334236522335985,0.325580384094539,0.00347766303323125,0.383283862799276,9,350,15
NA,0.247922380982578,0.183897698135289,0.0512285563005382,-0.0300871196163265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,350,15
"predicate_1",NA,NA,NA,NA,-0.645839037535589,-0.833788343700732,-0.526550183179528,-0.719585316781432,-0.149042416446332,-0.788371196719898,0.00244165874192017,0.21529173395854,0.00170418057366384,0.156910350141213,10,350,15
"workerid",NA,NA,NA,NA,-0.127087143281864,-0.737583865603565,-0.480594195023727,-0.711682231958572,-0.254682938264918,-0.857841003713557,0.390600254082115,0.425325661205608,0.00176513130858806,0.470422538648589,10,350,15
NA,0.158637658511511,0.14750988569867,0.0281430366368577,0.107125407924882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,350,15
"predicate_1",NA,NA,NA,NA,-0.513681397766711,-0.540052359084178,-0.970093798774376,0.111207603237269,-0.780136313605988,-0.896314515865865,0.0049613428328021,0.151523112770818,0.123279164382042,0.166786511807071,11,350,15
"workerid",NA,NA,NA,NA,0.0980512568146152,-0.280252815376797,-0.493909596711644,0.145222372942283,-0.927362011212123,-0.865624237789428,0.302539820575493,0.395675174414274,0.0674802807893831,0.311064586029005,11,350,15
NA,0.343941916820263,-0.0705617788732543,-0.163900392109871,-0.145186123235604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,350,15
"predicate_1",NA,NA,NA,NA,-0.923787630401655,-0.65750147112876,-0.703284452365657,-0.37565259499235,-0.714997934058404,-0.936107599998697,0.128295916651987,0.015426249358173,0.0993409005725361,0.198795579039084,12,350,15
"workerid",NA,NA,NA,NA,0.0730174381769903,-0.667298394434679,-0.543321477239548,-0.467955929985396,-0.533690008527228,-0.686518997187838,0.34257958892667,0.268217743047056,0.00716969169288518,0.484432956761497,12,350,15
NA,0.141554144602388,0.210388354669121,0.140349331773179,-0.000785635140027486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,350,15
"predicate_1",NA,NA,NA,NA,-0.0115557628114553,-0.752796237311674,-0.763246985541648,-0.647482860654594,-0.643379003264334,-0.613102050197989,0.0453196460846944,0.133932965605638,0.00817789721582108,0.00362597852183423,21,350,15
"workerid",NA,NA,NA,NA,0.127700506704934,-0.61005539317119,-0.403260667346175,-0.0991381289843533,-0.666296240344351,-0.671479662390678,0.304662353106339,0.450652133335046,0.015359533784081,0.388598940119952,21,350,15
NA,0.220160168733088,-0.133211152470457,-0.0645609812886581,-0.198491409755401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,350,15
"predicate_1",NA,NA,NA,NA,-0.0163434905680681,-0.680372686468737,-0.777419066397448,-0.622771926879117,-0.588770445056095,-0.78665417479507,0.117530541590125,0.112597928983843,0.00287445153515656,0.116586019225691,13,350,15
"workerid",NA,NA,NA,NA,0.393002951559429,-0.655335358064227,-0.560050633112992,-0.596866397215741,-0.293531152503569,-0.37997704955728,0.336115451363454,0.250904733838822,0.0089194903697159,0.576188389176566,13,350,15
NA,0.177209364190482,-0.104464941777139,0.0409215119695894,-0.228127759409344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,350,15
"predicate_1",NA,NA,NA,NA,-0.720227652635688,-0.883595206987389,-0.850131322930002,-0.586535063813983,-0.739016818927894,-0.848634945630928,0.00149241904392624,0.099926379464987,0.00398805271361445,0.009554792551793,22,350,15
"workerid",NA,NA,NA,NA,0.276067201975085,-0.221180778736791,-0.471526302094855,-0.266035562256456,-0.813140983007368,-0.806622983774554,0.345728721477624,0.265453314273662,0.0805036528637648,0.299880887814966,22,350,15
NA,0.18420060278937,0.431343641356866,0.0668385190200539,0.022218150817113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,350,15
"predicate_1",NA,NA,NA,NA,-0.26602710628654,-0.654849154856751,-0.476057189975237,-0.759134823364607,-0.469214588524885,-0.70919452692258,0.0517712407565143,0.117432529607147,0.00368645202576424,0.0644819194504315,23,350,15
"workerid",NA,NA,NA,NA,0.330353231172914,-0.155428719275914,-0.643914820611707,0.112503634333381,-0.39236434348568,-0.703896010907622,0.225528619126028,0.392379800123355,0.0489264936025837,0.413669438418367,23,350,15
NA,0.117409827015822,0.145035819976226,0.0901462080392014,0.15914770979095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,350,15
"predicate_1",NA,NA,NA,NA,-0.514942505460446,-0.832835069058787,-0.844660870981947,-0.816928664551295,-0.628113582669637,-0.799829753965786,0.00440470321155949,0.0924590782813351,0.00142331611284829,0.103544072065518,24,350,15
"workerid",NA,NA,NA,NA,-0.0156102951202907,-0.801955590692957,-0.663965500606823,-0.715982069891596,0.165092473770528,-0.721362215968746,0.315260136139615,0.175866345913309,0.00194207346735392,0.500424241760409,24,350,15
NA,0.235455483362483,-0.120462406113053,-0.156868177316463,-0.0740278140287379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,350,15
"predicate_1",NA,NA,NA,NA,-0.350310927685545,-0.889513619867903,-0.557579199885454,-0.777546716741316,-0.269145135504886,-0.907457756782253,0.00538472103224254,0.170940745107472,0.00315607199633561,0.0739117515539243,25,350,15
"workerid",NA,NA,NA,NA,0.143521047806457,-0.429643641529395,-0.50070699079172,-0.305033040847142,-0.118177755556647,-0.72504651318043,0.243873953674579,0.371058867392188,0.00808589084887332,0.657146816114724,25,350,15
NA,0.254340504132404,0.0439861418303583,-0.159841739545094,0.0805974805119019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,350,15
"predicate_1",NA,NA,NA,NA,-0.301459614065874,-0.611938774444989,-0.46609794307386,-0.277000213172179,-0.584208343794224,-0.883621276136349,0.054601274414249,0.140906811043765,0.0176207548414104,0.168374432312053,26,350,15
"workerid",NA,NA,NA,NA,0.107647870470273,-0.826023231342236,-0.660289885222234,-0.853957686819885,-0.480084834731501,-0.751788684097668,0.412027098792967,0.252646263233564,0.00280152326986602,0.552140957216355,26,350,15
NA,0.231184543048674,0.0913423099410163,0.0901934784675123,-0.111189282601724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,350,15
"predicate_1",NA,NA,NA,NA,-0.839995897374801,-0.673727340785071,-0.553437433898149,-0.83357891776152,-0.799279220359788,-0.685111225496216,0.0664872596013282,0.00325313388267505,0.00261592466846216,0.00311546916689378,27,350,15
"workerid",NA,NA,NA,NA,0.461315832168457,-0.251800623116281,-0.325120138217105,-0.188502599365551,-0.687195364185276,-0.78726466667069,0.253338311220965,0.282274489174097,0.0126328417628917,0.232353712639151,27,350,15
NA,0.265644739201676,-0.0363038592129465,-0.0563118335448027,-0.0350446939384492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,350,15
"predicate_1",NA,NA,NA,NA,-0.555663753497933,-0.778806591834064,-0.846088006040956,-0.839860680575033,-0.143925644628148,-0.866051973466892,0.0739853435335694,0.177541609660826,0.00239915280299481,0.169486099551706,14,350,15
"workerid",NA,NA,NA,NA,-0.40596493248933,-0.305538207244771,-0.43540137155845,-0.205342280002241,-0.879170977511981,-0.917467515322062,0.326216953090838,0.0336305027233082,0.06500844211966,0.237984639966297,14,350,15
NA,0.266767401725516,0.0345885855839129,-0.10533755618761,-0.206006165397554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,350,15
"predicate_1",NA,NA,NA,NA,-0.649350466767308,-0.897035785277232,-0.460005032448304,-0.225856956289166,-0.665587170772634,-0.425373290757839,0.0608339508722583,0.114933357286808,0.186426980473729,0.135740938681631,15,350,15
"workerid",NA,NA,NA,NA,-0.131138858442698,-0.652869225423157,-0.620965616656576,-0.762118065356866,-0.889741867202869,-0.857807648599969,0.366899475654518,0.0258133145917145,0.00348518392863641,0.306770587300558,15,350,15
NA,0.194144071478222,-0.0994191246445753,-0.0733008016015533,-0.0377929305079043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,350,15
"predicate_1",NA,NA,NA,NA,-0.56793190001348,-0.766807514354614,-0.834570874128562,-0.213087952573124,-0.450915978382574,-0.479694573379323,0.0046024452890114,0.15431010429755,0.0858689939022126,0.00952730121337813,16,350,15
"workerid",NA,NA,NA,NA,-0.259031869385687,-0.577889736278832,-0.735555622111396,-0.73218697984557,-0.865945143070174,-0.750849295391106,0.45831361506952,0.0114534993602561,0.0072922460172445,0.384764498767439,16,350,15
NA,0.222181278605773,-0.0928800936542346,-0.0612851952000204,-0.0862646480858057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,350,15
"predicate_1",NA,NA,NA,NA,-0.160878873947654,-0.767490400036912,-0.19289195416763,-0.339476315489874,-0.401342527605061,-0.849794768743241,0.0659381617022489,0.113157254241268,0.0769354297200277,0.077396962178857,17,350,15
