"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.184095498868089,-0.840247384413655,-0.854769020795071,-0.777114784058721,-0.646479317736641,-0.851493607157326,0.0596284582720571,0.107274339632522,0.00446933035608413,0.0543533193210645,21,350,18
"workerid",NA,NA,NA,NA,0.569433579328815,-0.767001277091365,-0.431382566859868,-0.784576070294503,-0.762457098139856,-0.701579100768241,0.333302694669561,0.284318233540539,0.00241398805186792,0.535769684906832,21,350,18
NA,0.159608025032709,0.147723037287898,0.0319795368353064,-0.0927206284637642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,350,18
"predicate_1",NA,NA,NA,NA,-0.849960716637007,-0.884105932339705,-0.710624639958147,-0.208759495988775,-0.773309114194805,-0.764783935347601,0.0227169892087918,0.079092606531861,0.0114279600266802,0.00235981685172948,22,350,18
"workerid",NA,NA,NA,NA,0.379399930418524,-0.333592070621731,-0.48686895668564,-0.219565556322788,-0.476442278846199,-0.57750346870301,0.321205942614814,0.236157492177954,0.00893923617215348,0.363944848203806,22,350,18
NA,0.1997235479006,0.17673192715767,0.0137910405992672,-0.00331319913820751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,350,18
"predicate_1",NA,NA,NA,NA,-0.163795079497977,-0.504221588801958,-0.760223490788955,-0.38841960682399,-0.759697571588231,-0.944392415618981,0.104314356685875,0.106886969971031,0.0435797230740144,0.113070613479017,23,350,18
"workerid",NA,NA,NA,NA,0.346154026748731,-0.395946477662467,-0.545453758124745,-0.372326366621622,-0.837432660178978,-0.29158764228669,0.309956783267013,0.255764861095812,0.0595524294910848,0.484363684805104,23,350,18
NA,0.187431660760802,0.314941741041923,0.154794311823127,-0.111068597792894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,350,18
"predicate_1",NA,NA,NA,NA,0.306004334314117,-0.825520760669006,-0.410798820889864,-0.849195943806835,-0.441140217553336,-0.717415499279034,0.100687173561932,0.188671712972896,0.0215050972893716,0.141475847985095,24,350,18
"workerid",NA,NA,NA,NA,0.0457641862717659,-0.292050511168467,-0.292707884505427,0.375124529641275,-0.669042679318402,-0.873400899354689,0.280464829156811,0.291362590727858,0.084138946324741,0.342876855446708,24,350,18
NA,0.188205009714415,-0.021503314273652,-0.00149413855013632,-0.0442663729089757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,350,18
"predicate_1",NA,NA,NA,NA,-0.739960198612415,-0.370709116653102,-0.793637842972304,-0.74617445054848,-0.84766662935176,-0.852027728695445,0.0672967980748389,0.00336047115276872,0.0775891590814869,0.193672751957865,25,350,18
"workerid",NA,NA,NA,NA,0.31170078209667,-0.444947348561055,-0.574430885088546,-0.677878784641009,-0.489961431561119,-0.85543613212332,0.326048278890755,0.278189574235148,0.00768718999186623,0.399551843413308,25,350,18
NA,0.246857155774355,0.171201945965804,-0.0790738432062268,0.130387701031916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,350,18
"predicate_1",NA,NA,NA,NA,-0.452194146753336,-0.548197738368756,-0.7748693421965,-0.582985847018233,-0.227716325149681,-0.874090914752183,0.0253393573893226,0.254793026756606,0.00709604513717734,0.144691706409227,26,350,18
"workerid",NA,NA,NA,NA,0.211433875585884,-0.734665539339511,-0.654963677903391,-0.680227477767946,-0.472124059395843,-0.673739513956419,0.374474031064576,0.413621634423795,0.00289216915303835,0.497916369211529,26,350,18
NA,0.25709543482075,0.0494450508411712,0.0309287921752596,-0.14931502423354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,350,18
"predicate_1",NA,NA,NA,NA,-0.618256487732583,-0.944119792738004,-0.582007290017114,-0.715515039549587,-0.520859807090052,-0.893207534709491,0.00703308735669211,0.0206134388602764,0.0618431786784232,0.0425570433718662,27,350,18
"workerid",NA,NA,NA,NA,0.184089697624479,-0.20219667712308,-0.634453638551403,-0.0617770109126603,-0.6933868787192,-0.882127452305924,0.279674639848054,0.331998992158479,0.0191011030194357,0.378223112326445,27,350,18
NA,0.176224016188952,0.172756848310362,-0.0101327401619989,0.148619624617926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,350,18
"predicate_1",NA,NA,NA,NA,-0.556026007940348,-0.737235167674364,-0.525071570914208,-0.272991311010979,-0.593307463913293,-0.844395717353239,0.0474595444649195,0.0870965180065006,0.113014396265837,0.0204513163710973,28,350,18
"workerid",NA,NA,NA,NA,0.119261322136527,-0.89337727259767,-0.668940728464179,-0.846038733291349,-0.552477691138057,-0.665618845978547,0.324670131677384,0.286920697902683,0.0029717689397639,0.386096910489589,28,350,18
NA,0.118101997261609,0.0513405829022648,-0.0152934744483692,0.00430521972987422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,350,18
"predicate_1",NA,NA,NA,NA,-0.666043789838873,-0.896327171200551,-0.512348109149443,-0.776902884485277,-0.739231738862854,-0.888492977509192,0.0343399510598675,0.00350242892230357,0.00403274830378334,0.0245933694663116,29,350,18
"workerid",NA,NA,NA,NA,0.367153425409495,-0.76099068203524,-0.470110864807033,-0.746721122449451,-0.706124767886242,-0.711295572823608,0.341804753605001,0.213992569240124,0.00219827613829089,0.440044604956912,29,350,18
NA,0.217954309923768,0.204735123591569,0.0353626107143648,0.0451769212112822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,350,18
"predicate_1",NA,NA,NA,NA,-0.491372986185097,-0.790157976789845,-0.766836961519294,-0.319766233549571,-0.288777010867348,-0.623860411990785,0.0947112172204023,0.108532701248705,0.08084311777765,0.142241775315908,1,350,18
"workerid",NA,NA,NA,NA,0.455509837184621,-0.221719728007955,-0.214131665929738,-0.266780973309259,-0.387350124694832,-0.300438031925545,0.310490827494917,0.208690024418055,0.0161356484180314,0.42956838734084,1,350,18
NA,0.286563649712866,-0.0710242768300356,-0.216957792122847,-0.333638925207636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,350,18
"predicate_1",NA,NA,NA,NA,-0.711877968697446,-0.641651467732308,-0.831702547497191,-0.737743192292161,-0.810005614234389,-0.839561970001206,0.107226302267239,0.00223773373450498,0.00456288593628653,0.00186856819357601,30,350,18
"workerid",NA,NA,NA,NA,-0.141490953036752,0.0327667226259687,-0.461200150482521,0.278223251531697,-0.793593439979925,-0.752521359466838,0.269254793986504,0.348520349955038,0.132530398420574,0.292871307683164,30,350,18
NA,0.143240231369454,0.13440933852269,0.0944232868358254,-0.023008787552811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,350,18
"predicate_1",NA,NA,NA,NA,-0.0205847222071807,-0.739621123122622,-0.88845566336466,-0.564230584959218,-0.689910082150718,-0.745753738819908,0.0712764373029058,0.124780328788387,0.00275409549145702,0.166632170765277,2,350,18
"workerid",NA,NA,NA,NA,0.404231195059925,-0.258993136920289,-0.683801769927558,-0.13602906683885,-0.625712882132142,0.0976266636242759,0.324589865859078,0.298734928971967,0.0973617865579062,0.542584420708218,2,350,18
NA,0.187929658607655,0.176708774442255,0.0541104599512485,-0.122708031108584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,350,18
"predicate_1",NA,NA,NA,NA,-0.643089329397767,-0.795595543184697,-0.862312988637861,-0.27833312846184,-0.789256168565176,-0.830585537016839,0.00851686444384114,0.0683404612034928,0.0242425668223493,0.0028226451096895,31,350,18
"workerid",NA,NA,NA,NA,0.151246034790253,-0.284878040480176,-0.599731683456184,-0.391137363467855,-0.398175279069882,0.290142056501815,0.25636553181633,0.344898944485742,0.101237330878455,0.456125205813515,31,350,18
NA,0.16680316893299,0.143844554898687,-0.0769385261210869,0.0437690570335842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,350,18
