"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.34340779413248,-0.773177786919736,-0.754288989184163,-0.823157187820971,-0.775888376909038,-0.855103264503892,0.0976383040057041,0.0228957904763042,0.0739406526939798,0.0289989112978962,1,300,15
"workerid",NA,NA,NA,NA,0.0623468656684278,-0.762589740550663,-0.446983380051221,-0.725300052065489,-0.695101451119608,-0.837340390161122,0.347788007064023,0.220100192900847,0.00232813144901584,0.262341900263456,1,300,15
NA,0.213804348229648,0.152889310856758,-0.0956281415418204,-0.0431468207323782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,300,15
"predicate_1",NA,NA,NA,NA,-0.802279945492977,-0.314412265760739,-0.721332849233369,-0.780566154822658,-0.717080369661121,-0.883244411037191,0.123397976924069,0.00219105389563597,0.115928219346529,0.00447927188262558,2,300,15
"workerid",NA,NA,NA,NA,-0.078139671476671,-0.71688508984579,-0.617646403818436,-0.661934784669793,-0.412475956275129,-0.763198928499037,0.365667725537169,0.209660673538161,0.0099424618045873,0.411665760559603,2,300,15
NA,0.142286154519257,0.0719669030193369,0.11637326016958,-0.120551129178886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,300,15
"predicate_1",NA,NA,NA,NA,-0.04994303725151,-0.725159405948266,-0.709689253127935,-0.854167617533887,-0.693809134489543,-0.843118438451792,0.117697471848113,0.1308697140232,0.039390652307698,0.00350879198298091,3,300,15
"workerid",NA,NA,NA,NA,0.477405720572148,-0.0756159896807433,-0.437542532891213,-0.0912075377075729,-0.0163416584171258,-0.653279197464161,0.246568767625034,0.430057626026913,0.0231074579520207,0.298610795928715,3,300,15
NA,0.287337381890522,0.156838080024433,0.0588552396486241,0.0203235715390174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,300,15
"predicate_1",NA,NA,NA,NA,-0.518946851156069,-0.837132622098925,-0.739127012961388,0.140350029037826,-0.626716184318201,-0.648602658473021,0.166462841446652,0.0990156462870708,0.260727427475972,0.00335058112846184,4,300,15
