"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.831205701149902,-0.877006078092528,-0.857324773880792,-0.794555823478249,-0.812634569112332,-0.852638193139325,0.0021192735782872,0.00237377107261188,0.00376666661757541,0.00294158957869184,1,150,18
"workerid",NA,NA,NA,NA,0.0570215564650608,-0.569709700781115,-0.629316359559188,-0.451253246211246,-0.89126513901833,-0.817896035599228,0.350065180471448,0.276926231688375,0.00880269342359168,0.501051896916849,1,150,18
NA,0.0866135540646524,0.275987104649793,0.0843277291180677,0.10077399008857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,150,18
"predicate_1",NA,NA,NA,NA,-0.412712783902874,-0.915301671477603,-0.493225978408061,-0.837253463628503,-0.779965968064675,-0.732994322278915,0.0553723903683732,0.0362413836902831,0.00533858276862191,0.0672311094356936,2,150,18
"workerid",NA,NA,NA,NA,0.00330417508606642,-0.614936194198473,-0.668429983407755,-0.572820820084357,-0.633156939376201,-0.845120259512062,0.302072089101825,0.149138480296128,0.00395742990732819,0.341703378991904,2,150,18
NA,0.264900894495276,0.0342236448181197,-0.141736811111464,-0.129374189826731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,150,18
"predicate_1",NA,NA,NA,NA,-0.69981046158645,-0.779116158872066,-0.758274643474803,-0.57063842253295,-0.808284174627351,-0.865380455960691,0.00244037871737424,0.020585093885836,0.0139913931917921,0.142516201082395,3,150,18
"workerid",NA,NA,NA,NA,0.170857518973749,-0.88829281425119,-0.830218481111261,-0.876901761969604,-0.943839043437695,-0.552040403782376,0.329980534252516,0.20006263471757,0.00451668181104256,0.45916115849787,3,150,18
NA,0.0812202007375584,0.163420132803391,-0.0749522125063576,0.081278831248417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,150,18
"predicate_1",NA,NA,NA,NA,-0.657989661150111,-0.822198096386024,-0.802929198293163,-0.588484004023493,-0.716726845007456,-0.77112936459533,0.00214953087171128,0.129779908416876,0.00403108355168629,0.00632991534179451,4,150,18
"workerid",NA,NA,NA,NA,-0.0418068199940564,-0.711451624027572,-0.787226232244868,-0.744352630507267,-0.707898120035484,-0.808803784712799,0.339356590605681,0.308264975854393,0.00333124516207116,0.104904822037837,4,150,18
NA,0.222014851176931,0.125950600203148,-0.0203189307130982,-0.00716977252042965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,150,18
"predicate_1",NA,NA,NA,NA,-0.012747305526034,-0.624730843278874,-0.664222984980022,-0.626670205299157,-0.801700032104815,-0.688681910608934,0.0757798506186592,0.17563954487111,0.0131095854802583,0.135265742219931,5,150,18
"workerid",NA,NA,NA,NA,-0.340010065894061,-0.502060749452045,-0.412234866823861,-0.0603216892224654,0.0651687616628762,-0.491549173361112,0.0759307306457524,0.392260580112802,0.0297251080767452,0.257238492685345,5,150,18
NA,0.198131074330792,-0.0694620711031116,-0.0805108092209004,-0.223573120300104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,150,18
"predicate_1",NA,NA,NA,NA,-0.694255441440119,-0.809446063733671,-0.773779345972097,-0.723597319404369,-0.6321177009667,-0.75464987874395,0.00289323321584989,0.152860272419428,0.00268696301407247,0.00512160470356876,6,150,18
"workerid",NA,NA,NA,NA,-0.316517886873873,-0.586592798969405,-0.589416357248429,-0.718963578130817,-0.771438794087987,-0.74195972600119,0.251513829452199,0.0255687734187825,0.00440798393986992,0.42781569799616,6,150,18
NA,0.204797286895899,-0.0500449501620632,-0.265968325767154,-0.208670118547369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,150,18
