"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.721869691388738,-0.857732891462818,-0.621596984963441,-0.832390421995618,-0.718608299034248,-0.879867510553422,0.0286191599038864,0.00446877820666075,0.0187413241640251,0.00823176575008096,1,150,15
"workerid",NA,NA,NA,NA,0.0142082736443117,-0.481415716962474,-0.462924414771964,-0.112630663876495,-0.863159660474129,-0.65243381625376,0.375155334707594,0.362518210266172,0.0362987820216638,0.322696885688658,1,150,15
NA,0.243882937602603,0.0389031998245585,-0.111162950624107,-0.104036856580202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,150,15
"predicate_1",NA,NA,NA,NA,-0.907815350432632,-0.82204992992072,-0.790544551442271,-0.826862119378662,-0.898013676659838,-0.754277503513817,0.00143588080738406,0.0149376880408849,0.00312115001834268,0.00393274769331514,2,150,15
"workerid",NA,NA,NA,NA,-0.0331245878945592,-0.235207725497507,-0.542048852803377,-0.174698537770153,-0.543518384400613,-0.889256808411423,0.262771858740893,0.284247654283962,0.0430875361296302,0.220922124664041,2,150,15
NA,0.183777474114108,0.00725049793991349,-0.0837947184374498,-0.0540590025637714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,150,15
"predicate_1",NA,NA,NA,NA,-0.845307333833214,-0.791882763190775,-0.890439663086195,-0.740422144864269,-0.70491833614284,-0.882770641645618,0.00179152844381717,0.00479895009935989,0.0807969656507442,0.0222760384358669,3,150,15
"workerid",NA,NA,NA,NA,-0.192641505771644,-0.887564146662502,-0.616567719138949,-0.803048397845464,-0.527279514569031,-0.76696609352756,0.263673479994331,0.18742693385051,0.00387135307142716,0.33838337786436,3,150,15
NA,0.190329793890936,-0.108207823158056,-0.0707473108053855,-0.0663177696561759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,150,15
"predicate_1",NA,NA,NA,NA,-0.427737951062549,-0.913859441166767,-0.804477393420446,-0.821335418867163,-0.668633012633796,-0.88575936445439,0.00797780562770354,0.167061706594912,0.0232555092476433,0.00709872382875165,4,150,15
"workerid",NA,NA,NA,NA,-0.241801936693992,-0.750502468019714,-0.641656436503873,-0.781702636437986,-0.528904495842299,-0.816033434831221,0.232019933366681,0.0412689680711798,0.00333455564226476,0.280585539000588,4,150,15
