"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants"
"predicate_1",NA,NA,NA,NA,-0.4986766127868,-0.721395075551576,-0.846237949948041,-0.850454653433239,-0.423707991907185,-0.895862785176399,0.0509322309703882,0.0596023094803525,0.0158152311913898,0.118820378320955,901,150
"workerid",NA,NA,NA,NA,-0.0988463412876211,-0.597649332637182,-0.677124957092015,-0.658902397019274,-0.642919755794122,-0.829230867040399,0.309208326467738,0.0239164781665533,0.0044099871977617,0.316109188993268,901,150
NA,0.215240710760384,0.0690507419570792,-0.168611387894839,-0.0773233657233652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901,150
"predicate_1",NA,NA,NA,NA,-0.586755714793583,-0.846080305357813,-0.599039629301339,-0.783693183105978,-0.695646487398572,-0.890799151506699,0.0743342312224182,0.00996898588062072,0.00481320529520023,0.159856790739881,902,150
"workerid",NA,NA,NA,NA,0.377879218010993,-0.35897984116939,-0.549742862245908,-0.415099647805134,-0.623898754434832,-0.802264667420763,0.284049432440722,0.360983802206372,0.00851930243202314,0.400419178395943,902,150
NA,0.140487277370067,0.15249612220366,0.0225409326888964,-0.173446220753567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,150
"predicate_1",NA,NA,NA,NA,-0.61114411440428,-0.796347760477876,-0.745414434399474,-0.799668499532378,-0.713256868247139,-0.867214097102352,0.0522945485412023,0.00541163044419356,0.00425764650830933,0.0103195256241449,1,150
"workerid",NA,NA,NA,NA,-0.213534332813492,-0.881283129698419,-0.646616284449182,-0.824856749443119,-0.786557890936535,-0.545976281652807,0.276293442261994,0.126978975240241,0.00465902861288546,0.224078317608454,1,150
NA,0.0907925558018975,0.098318804681551,0.0552633354693674,-0.0331974385441055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,150
"predicate_1",NA,NA,NA,NA,-0.523191578364178,-0.589571302120415,-0.813387363770967,-0.5292485601114,-0.64526634223527,-0.866431410738422,0.0234962971691077,0.0209384516766585,0.0201994282516141,0.118170011103303,903,150
"workerid",NA,NA,NA,NA,0.660088108119182,-0.716462223197144,-0.643754467419836,-0.70379366309556,-0.474517167181278,-0.80237075422741,0.323326284372653,0.365540968037354,0.00372120169768393,0.518023833786002,903,150
NA,0.126606116676591,0.211550823373199,0.00918251665290318,-0.036175471306651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,150
"predicate_1",NA,NA,NA,NA,-0.763731889117089,-0.849642255414239,-0.632161860175538,-0.80305401935695,-0.750171443461556,-0.84169867212557,0.0362097812303571,0.00575542341593766,0.00227753360926518,0.141605039663415,2,150
"workerid",NA,NA,NA,NA,0.0498741547762281,-0.494765122637671,-0.674728915851511,-0.332212769162299,-0.468396284429059,-0.797218499792371,0.425549556375878,0.291860835424621,0.0364852846423299,0.573146619808282,2,150
NA,0.169512494801656,-0.0116961029362107,-0.212125614353581,-0.126026093529763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,150
"predicate_1",NA,NA,NA,NA,-0.337450831947373,-0.799095645285445,-0.854440058038721,-0.600926405831021,-0.876087135246163,-0.797620464369833,0.0207660371677484,0.0838379608107022,0.00811093817378141,0.0115875948288451,601,150
"workerid",NA,NA,NA,NA,0.0120421293407893,-0.430117893088126,-0.665105819080709,-0.679882827055204,-0.688932754994005,-0.689658360699221,0.316665679157413,0.246054716479102,0.00673225769200445,0.5025796810354,601,150
NA,0.0628348287351001,0.241969784483231,0.099566752448191,0.117411421679881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,150
"predicate_1",NA,NA,NA,NA,-0.779679053592538,-0.869069914632145,-0.835904186747537,-0.465492725641124,-0.84583468350191,-0.780234653295747,0.00188964809880415,0.236937273950907,0.00483997077322883,0.0227845509689677,904,150
"workerid",NA,NA,NA,NA,-0.294140090980232,-0.737200109700624,-0.135348814312997,-0.857960526506328,-0.774072337045474,-0.698419133579726,0.333665855992537,0.226376136973374,0.00360710375746131,0.117039534500044,904,150
NA,0.242952688145411,-0.130598012354187,-0.04872434341112,-0.11408856167472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,150
"predicate_1",NA,NA,NA,NA,-0.351993550900425,-0.878584698958863,-0.774003375545505,-0.8332000564353,-0.686649019825234,-0.806393435262357,0.0297339096101475,0.124174055156938,0.00234356206912062,0.00352119784052378,3,150
"workerid",NA,NA,NA,NA,0.172919640216377,-0.422475592620128,-0.355908423645409,-0.424495111106947,-0.520836406165179,-0.389261831879729,0.236319322201729,0.197456278287644,0.0172673077901723,0.434061037000441,3,150
NA,0.176551532361736,0.0238850172439171,0.0123948858348289,-0.148294716126767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,150
"predicate_1",NA,NA,NA,NA,-0.703401034051319,-0.837602499031592,-0.71966960751419,-0.695175734894566,-0.823541475215388,-0.874337791985812,0.0555366967523336,0.0115810162309019,0.0686993046153137,0.222513521532078,602,150
"workerid",NA,NA,NA,NA,0.252856279697191,-0.659805856725723,-0.50274550909053,-0.682493492367263,-0.840776397016737,-0.666938388584673,0.289497817331909,0.182643864343062,0.00527168207060182,0.355788910561447,602,150
NA,0.193376021082641,0.107037577785145,-0.063682126424184,-0.376162256924251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,150
"predicate_1",NA,NA,NA,NA,-0.801036930061915,-0.764735032585156,-0.841447346803041,-0.789928172641693,-0.801454751772254,-0.835396954962227,0.0539615103615922,0.00433592621306861,0.00273345488824504,0.17535652461989,905,150
"workerid",NA,NA,NA,NA,0.314924053902939,-0.679213710420238,-0.459076478161302,-0.674716309618057,-0.819625069858167,-0.742231510788885,0.328406936269619,0.171529091065493,0.00443185009987053,0.45051542962876,905,150
NA,0.169410089620663,0.232850264182517,-0.0121134647654066,-0.129136716409691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,150
"predicate_1",NA,NA,NA,NA,-0.823722715784893,-0.682587754214117,-0.882629485461661,-0.789321998459632,-0.781158974978874,-0.857159424566224,0.0112434478002697,0.00267776740869953,0.0063581556236786,0.0136057460935013,4,150
"workerid",NA,NA,NA,NA,-0.175267029190399,-0.813864797167228,-0.781107039734899,-0.81247065706414,-0.663629249438102,-0.787364388056583,0.362051872555244,0.0767298402645518,0.00394790874686553,0.405341867423097,4,150
NA,0.120074924166847,0.246167140238505,0.0826604480587978,-0.0721699669924829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,150
"predicate_1",NA,NA,NA,NA,-0.205144955829577,-0.794897787758271,-0.775180639125157,-0.717922182516682,-0.60130102104113,-0.855012236073591,0.081419528225831,0.123651199890536,0.050519792922544,0.0134800314901725,603,150
"workerid",NA,NA,NA,NA,0.427158213363816,-0.82259895755221,-0.382543354829516,-0.794335471694813,-0.507827884930253,-0.795778413127414,0.254300579058678,0.319935053894121,0.00277489730639599,0.34114554109503,603,150
NA,0.175623486168464,0.0615281687175045,-0.0940428056498385,0.0203975881246961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603,150
"predicate_1",NA,NA,NA,NA,-0.419036583972684,-0.80826356069468,-0.718633373894173,-0.831922296526481,-0.579287786073854,-0.883115162348464,0.0434874052026487,0.0158872064846863,0.0110576408601263,0.0903399238965478,701,150
"workerid",NA,NA,NA,NA,0.396445263231543,-0.67918974854184,-0.629314692688753,-0.649905633180637,-0.432009838451502,-0.416548656905193,0.23981248243274,0.322184574501554,0.00887817851011018,0.407894840683146,701,150
NA,0.019490999184186,0.125276346064439,0.0336904259789457,-0.0672406448688851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,150
"predicate_1",NA,NA,NA,NA,-0.737607394920699,-0.81377307474474,-0.756838173577127,0.113761845252542,-0.754969836431654,-0.801620012084372,0.00684645397132288,0.209311630815496,0.116864368935555,0.0041019313893532,906,150
"workerid",NA,NA,NA,NA,0.287024180895198,-0.720754719958169,-0.475074072778777,-0.728880661031205,-0.516551163050786,-0.669431092187168,0.35084851866242,0.154958157245922,0.00452584736129527,0.227178632279124,906,150
NA,0.33798079691767,-0.117166792112539,-0.316832699225374,-0.190668298028526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,150
"predicate_1",NA,NA,NA,NA,-0.641554554692099,-0.638971562450876,-0.715305995529651,-0.634733798892574,-0.630504198291939,-0.657851666511517,0.00435232824854636,0.0253776238151639,0.0198604486243767,0.100358248580446,5,150
