"group","(Intercept)","conditionnp","conditionpp","conditionvp","cor__(Intercept).conditionnp","cor__(Intercept).conditionpp","cor__(Intercept).conditionvp","cor__conditionnp.conditionpp","cor__conditionnp.conditionvp","cor__conditionpp.conditionvp","sd__(Intercept)","sd__conditionnp","sd__conditionpp","sd__conditionvp","seed","n.participants","n.items"
"predicate_1",NA,NA,NA,NA,-0.869820740000521,-0.868616136685241,-0.596922487604773,-0.737171642585045,-0.237370226985907,-0.837768387304659,0.00479534882156503,0.34128053575976,0.00239743390929369,0.094873515698654,51961,400,15
"workerid",NA,NA,NA,NA,0.208328377156444,0.16831301643443,-0.290589782501654,-0.175378645755841,-0.740218496847692,0.236075635265171,0.273027819713777,0.311473337352723,0.173122056176871,0.457680963604906,51961,400,15
NA,0.205262632998476,-0.0116766872778696,0.0390590668955185,-0.041018979600427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51961,400,15
"predicate_1",NA,NA,NA,NA,0.0734254181730591,-0.813505372856598,-0.767798556524502,-0.802298865909658,-0.408259822946965,-0.810523660146265,0.0888898734725479,0.170578087137727,0.0012195991154456,0.0199570749836936,51962,400,15
"workerid",NA,NA,NA,NA,0.213914292708154,-0.586642058786336,-0.276201834742325,-0.70903643694418,-0.0595036539858084,-0.846430966141696,0.33962113143431,0.263438418455418,0.004484888971439,0.396581104904339,51962,400,15
NA,0.201200431199085,-0.0165626416416998,-0.000405001256284323,-0.143400443077949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51962,400,15
"predicate_1",NA,NA,NA,NA,-0.446607012019627,-0.858547850587449,-0.927810886566646,-0.76952242286076,-0.843862299154765,-0.620746782081845,0.0815632508347527,0.00508623375466493,0.0199429449558864,0.0677856080922158,51963,400,15
"workerid",NA,NA,NA,NA,0.11356547793538,-0.297387964875891,-0.431854239873734,-0.47927157013517,-0.0378798772723031,-0.798136982557587,0.260463301980312,0.248635798171571,0.0151721095676224,0.3455114061429,51963,400,15
NA,0.218783905332378,0.126741986223536,-0.088874582272882,-0.0922501389961378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51963,400,15
"predicate_1",NA,NA,NA,NA,-0.265405625009037,-0.87255279126067,-0.795227916037652,-0.844208155425641,-0.112825122266187,-0.841113191719306,0.0264849381159401,0.201102963277477,0.00179738414279904,0.24795418030214,51964,400,15
